Actif 1,Actif 2,Type interaction,Explication détaillée,Conduite à tenir
Vitamine C,Niacinamide,COMPATIBLE (mythe débunké),"Ancien mythe: 'ils s'annulent'. En réalité, compatible à pH moderne des formules. L'ancienne étude utilisait des conditions extrêmes (pH très acide + chaleur).","Peuvent être appliqués ensemble. Si peau très sensible: appliquer l'un le matin, l'autre le soir."
Vitamine C,AHA (acide glycolique),SYNERGIE avec PRUDENCE,Même gamme de pH acide → très efficace mais peut sur-exfolier les peaux sensibles.,OK pour peaux normales/mixtes. Peaux sensibles: appliquer à des moments différents.
Vitamine C,Peptides cuivrés,CONFLIT,Les ions cuivre Cu²⁺ catalysent l'oxydation de la vitamine C → elle devient pro-oxydante et brunit.,NE PAS mélanger. Utiliser à des moments différents de la routine.
Vitamine C,SPF,SYNERGIE,La vitamine C neutralise les radicaux libres que le SPF laisse passer. Complémentaires.,Vitamine C SOUS le SPF le matin. Meilleure photoprotection combinée.
Vitamine C,Acide hyaluronique,SYNERGIE,"L'HA hydrate, la vit C illumine et protège. Pas d'interférence.","Appliquer vit C en premier (hydrosoluble, pénétrant), HA par-dessus."
"Vitamine C (ascorbyl glucoside, MAP)",Rétinol,COMPATIBLE,Les formes dérivées stables de vitamine C (pH neutre) n'ont PAS le conflit de pH de l'acide ascorbique pur.,Les dérivés stabilisés de vit C peuvent être associés au rétinol le soir.
"AHA (glycolique, lactique, mandélique)",BHA (salicylique),PRUDENCE,"Double exfoliation = irritation, sécheresse, desquamation. Cependant, les peaux grasses/acnéiques tolèrent souvent bien.","Peaux grasses: OK en combiné (BHA dans nettoyant, AHA en sérum). Peaux sensibles: alterner."
AHA,"PHA (gluconolactone, lactobionic acid)",SYNERGIE,"Les PHA sont des AHA de grande taille (moins pénétrants, plus doux). Association pour peaux réactives qui veulent de l'exfoliation.",Les PHA ajoutent de l'hydratation. Parfait pour les peaux sensibles qui veulent du renouvellement.
AHA,"Enzymes exfoliantes (papaïne, bromélaïne)",CUMUL,Double exfoliation chimique + enzymatique → risque de sur-exfoliation.,Ne pas utiliser le même jour. Alterner.
AHA,SPF,OBLIGATOIRE,"Les AHA photosensibilisent la peau (couche cornée amincie, exposition des jeunes kératinocytes).",SPF 30+ obligatoire le lendemain d'un soin AHA.
AHA/BHA,Gommage mécanique (scrub),INTERDIT,"L'exfoliation chimique + mécanique simultanée = destruction de la barrière cutanée → irritation, sensibilisation.",JAMAIS le même jour. Choisir l'un OU l'autre.
BHA (acide salicylique),Niacinamide,SYNERGIE,"Le BHA nettoie les pores (anti-acné), la niacinamide réduit la production de sébum et calme l'inflammation.","DUO ANTI-ACNÉ de référence. BHA en premier, niacinamide par-dessus."
BHA,"Zinc (topique, oxyde de zinc)",SYNERGIE,Le zinc est séboréducteur et anti-inflammatoire. Complémentaire du BHA en anti-acné.,Association efficace pour l'acné modérée.
BHA,Soufre,PRUDENCE,Soufre + BHA = double desséchant. Efficace mais très asséchant.,Peau très grasse: OK. Sinon: alterner.
Acide glycolique,Acide hyaluronique,SYNERGIE,L'AHA exfolie et l'HA hydrate la nouvelle peau. Complémentaires.,"Appliquer l'AHA en premier, attendre 5 min, puis l'HA sur peau humide."
Acide mandélique,Rétinol,PRUDENCE,"L'acide mandélique est un AHA plus doux (grand PM, moins pénétrant). Combinaison mieux tolérée que glycolique + rétinol.",Possible chez les peaux tolérantes. Introduction progressive. Pas le même soir au début.
Niacinamide,Acide hyaluronique,SYNERGIE,"Duo hydratant universel. La niacinamide renforce la barrière, l'HA hydrate. Pas d'interférence pH.",Combinaison star pour tous types de peau.
Niacinamide,Zinc (topique),SYNERGIE,"Niacinamide + zinc = duo anti-acné, séborégulateur, anti-inflammatoire.",Formule classique: The Ordinary Niacinamide 10% + Zinc 1%.
Niacinamide,Peptides,SYNERGIE,Pas d'interférence. Tous deux actifs anti-âge complémentaires.,Association bénéfique.
Niacinamide,SPF,SYNERGIE,La niacinamide prévient les taches UV (inhibition du transfert des mélanosomes). Renforce l'effet du SPF.,Meilleure association anti-taches: niacinamide + SPF quotidien.
Niacinamide,Alpha-arbutine,SYNERGIE,"Deux dépigmentants par des voies différentes: niacinamide (transfert mélanosomes), arbutine (inhibition tyrosinase).",Association anti-taches de référence.
Peptides cuivrés (GHK-Cu),AHA/BHA à pH acide,CONFLIT,Les peptides cuivrés sont instables à pH acide → dégradation + libération de cuivre libre (pro-oxydant).,Ne PAS appliquer de peeling acide dans la même routine que les peptides cuivrés.
Peptides cuivrés,Vitamine C pure,CONFLIT,"Le cuivre oxyde l'acide ascorbique → solution bruâtre, inefficace et pro-oxydante.",Appliquer à des moments différents (matin/soir).
Peptides de collagène (Matrixyl),SPF,SYNERGIE,Les peptides réparent le collagène dégradé par les UV. Le SPF empêche la dégradation.,Peptides comme traitement + SPF comme prévention. Complémentaires.
Peptides,Acide hyaluronique,SYNERGIE,"L'HA hydrate la matrice extracellulaire, les peptides la renforcent. Complémentarité structurelle.",Association anti-âge idéale.
Hydroquinone,SPF,OBLIGATOIRE,"Sans SPF, l'hydroquinone est COUNTER-PRODUCTIVE: la peau dépigmentée est hypersensible aux UV → re-pigmentation pire.","SPF 50+ OBLIGATOIRE. Sans SPF, ARRÊTER l'hydroquinone."
Hydroquinone,Rétinol/Trétinoïne,SYNERGIE classique,Le trio de Kligman: hydroquinone + trétinoïne + corticoïde topique. Traitement de référence du mélasma.,Sous supervision dermatologique uniquement. Durée limitée.
Hydroquinone,AHA,SYNERGIE,"L'AHA exfolie la couche pigmentée superficielle, l'hydroquinone bloque la mélanogenèse en profondeur.",Combinaison efficace pour le mélasma. SPF 50+ impératif.
Hydroquinone,Vitamine C,SYNERGIE,Double action anti-tyrosinase via des mécanismes différents.,Association dépigmentante puissante.
Alpha-arbutine,Acide kojique,SYNERGIE,Deux inhibiteurs de la tyrosinase par des mécanismes différents.,Association anti-taches efficace et bien tolérée.
Alpha-arbutine,Rétinol,SYNERGIE,"L'arbutine bloque la mélanogenèse, le rétinol exfolie les cellules pigmentées et stimule le renouvellement.",Routine anti-taches efficace. SPF obligatoire.
Acide tranexamique (topique),Vitamine C,SYNERGIE,"L'acide tranexamique inhibe la plasmine (mélasma), la vitamine C inhibe la tyrosinase. Voies complémentaires.",Association très efficace pour le mélasma résistant.
Acide azélaïque,Niacinamide,SYNERGIE,L'azélaïque est anti-acné + dépigmentant. La niacinamide est anti-sébum + anti-transfert mélanosomes.,Association versatile: acné + taches post-inflammatoires.
Acide hyaluronique,Application sur peau sèche (humidité <40%),CONFLIT,"L'HA est un humectant: il attire l'eau. En air sec, il puise l'eau des couches profondes de la peau → DÉSHYDRATATION paradoxale.","TOUJOURS appliquer l'HA sur peau humide + sceller avec un occlusif (crème riche, huile végétale)."
Acide hyaluronique,"Occlusifs (vaseline, silicones, huiles)",SYNERGIE,"L'HA hydrate, l'occlusif empêche l'évaporation. Technique 'sandwich'.",Appliquer: eau/brume → HA → crème occlusiva. Meilleure hydratation.
Céramides,Cholestérol + Acides gras,SYNERGIE (ratio physiologique),La barrière cutanée contient céramides:cholestérol:acides gras en ratio ~3:1:1. Reproduire ce ratio = réparation optimale.,Préférer les formules qui respectent le ratio physiologique.
Squalane,Rétinol,SYNERGIE,Le squalane émollient réduit l'irritation du rétinol et améliore sa pénétration.,Mélanger 2-3 gouttes de squalane avec le rétinol pour tamponner l'effet.
Peroxyde de benzoyle,Acide salicylique haute concentration,CONFLIT,"Double desséchant, double irritant. Destruction de la barrière cutanée, sécheresse sévère.",Matin: BHA (salicylique). Soir: peroxyde de benzoyle spot. Ou alterner les jours.
Peroxyde de benzoyle,AHA,CONFLIT,Double exfoliation + oxydation. Irritation certaine.,NE PAS associer le même soir. Alterner.
Peroxyde de benzoyle,Vitamine C,INACTIVATION,Le peroxyde de benzoyle oxyde l'acide ascorbique → inactivation complète de la vitamine C.,Appliquer à des moments TRÈS différents de la journée.
Plusieurs actifs anti-acné simultanés,Peau,CONFLIT/ABUS,Empiler BHA + peroxyde de benzoyle + rétinol + AHA = destruction complète de la barrière cutanée → peau pire qu'avant.,"RÈGLE: maximum 2 actifs 'forts' dans une routine. 1 le matin, 1 le soir. Hydrater et protéger."
SPF chimique (avobenzone),SPF minéral (oxyde de zinc),CONFLIT POTENTIEL,L'oxyde de zinc peut catalyser la dégradation photochimique de l'avobenzone → perte de protection UVA.,Utiliser des formules pré-stabilisées. Ne PAS mélanger ses propres filtres.
SPF,Maquillage/Fond de teint,DILUTION,Mélanger le SPF au fond de teint dilue la concentration → protection réduite.,"Appliquer le SPF EN PREMIER, attendre 2-3 min, PUIS le fond de teint par-dessus. Sans mélanger."
SPF,Huile de coco/argan (comme SPF),INSUFFISANT,Les huiles végétales ont un SPF ≤ 5-7. INSUFFISANT pour protéger la peau.,Les huiles ne remplacent JAMAIS un SPF. Utiliser un vrai écran solaire.
SPF,AHA/BHA/Rétinol,OBLIGATOIRE,Tout traitement exfoliant ou renouvellement cellulaire augmente la photosensibilité.,SPF 30+ obligatoire si utilisation de tout actif exfoliant ou rétinol.
Huile de bergamote/Essence d'agrumes,Soleil,CONFLIT MAJEUR,Les furanocoumarines des huiles d'agrumes sont PHOTOSENSIBLISANTES → brûlures + hyperpigmentation durable (dermite des prés).,⚠️ JAMAIS d'huiles essentielles d'agrumes sur la peau exposée au soleil. Même les 'cold-pressed'.
Routine matin IDÉALE,Ordre,PROTOCOLE,"1. Nettoyant doux 2. Vitamine C (ou antioxydant) 3. Hydratant (HA, niacinamide) 4. Crème hydratante (céramides) 5. SPF (dernière étape soin)",Du produit le plus fluide au plus épais. SPF = dernière couche.
Routine soir IDÉALE,Ordre,PROTOCOLE,"1. Double nettoyage (huile + moussant) 2. Actifs (rétinol OU AHA/BHA OU vitamine C dérivée) 3. Hydratant (HA, peptides) 4. Crème/huile occlusiva",Un seul actif 'fort' par soir. Alterner les actifs.
