drug_class_id,drug_class_name,therapeutic_area,mechanism_of_action_summary,clinical_use_scope,complexity_level
DC041,Radioactive Iodine,Endocrinology,Destruction of thyroid follicular cells,Hyperthyroidism; Thyroid cancer,High
DC042,Bisphosphonates,Endocrinology,Inhibition of osteoclast-mediated bone resorption,Osteoporosis; Paget's disease,Low
DC043,Denosumab,Endocrinology,RANKL inhibitor reducing osteoclast activity,Osteoporosis; Bone metastases,Medium
DC044,Selective Estrogen Receptor Modulators (SERMs),Endocrinology,Estrogen agonist/antagonist in bone,Osteoporosis; Breast cancer prevention,Medium
DC045,Parathyroid Hormone Analogs (Teriparatide),Endocrinology,Stimulation of bone formation,Osteoporosis,High
DC046,Calcitonin,Endocrinology,Inhibition of osteoclast activity,Osteoporosis; Paget's; Hypercalcemia,Low
DC047,Estrogen (Hormone Therapy),Endocrinology,Activation of estrogen receptors,Menopause symptoms; Osteoporosis prevention,Medium
DC048,Progestins,Endocrinology,Activation of progesterone receptors,Contraception; Endometriosis; HRT,Medium
DC049,Combined Oral Contraceptives,Endocrinology,Combination of estrogen and progestin,Contraception; Cycle control; Acne,Medium
DC050,GnRH Agonists,Endocrinology,Initial stimulation then suppression of gonadotropins,Endometriosis; Prostate cancer; Precocious puberty,High
DC051,Aromatase Inhibitors,Endocrinology,Inhibition of estrogen synthesis,Breast cancer (hormone receptor positive),Medium
DC052,Gonadotropins (FSH, LH),Endocrinology,Stimulation of ovarian follicular development,Infertility,High
DC053,Clomiphene,Endocrinology,Estrogen receptor antagonist in hypothalamus stimulating gonadotropins,Ovulation induction,Medium
DC054,Metoclopramide,Gastroenterology,Dopamine D2 antagonist with prokinetic properties,Gastroparesis; Nausea,Low
DC055,Proton Pump Inhibitors (PPIs),Gastroenterology,Irreversible inhibition of H+/K+ ATPase in parietal cells,GERD; Peptic ulcer; Zollinger-Ellison; H. pylori,Low
DC056,H2 Receptor Antagonists,Gastroenterology,Competitive inhibition of histamine H2 receptors on parietal cells,GERD; Peptic ulcer; Gastritis,Low
DC057,Antacids,Gastroenterology,Neutralization of gastric acid,Dyspepsia; Heartburn,Low
DC058,Sucralfate,Gastroenterology,Forms protective barrier over ulcers,Peptic ulcer disease; Stress ulcer prophylaxis,Low
DC059,Misoprostol,Gastroenterology,Prostaglandin E1 analog protecting gastric mucosa,NSAID-induced ulcer prevention,Low
DC060,5-ASA Compounds (Mesalamine),Gastroenterology,Topical anti-inflammatory in colon,Ulcerative colitis; Crohn's colitis,Low
DC061,Corticosteroids (Systemic),Gastroenterology,Suppression of immune response,Moderate-severe IBD; Autoimmune hepatitis,Medium
DC062,Immunomodulators (Azathioprine),Gastroenterology,Inhibition of purine synthesis reducing lymphocyte proliferation,IBD; Autoimmune hepatitis,High
DC063,Anti-TNF Agents (Infliximab),Gastroenterology,Neutralization of TNF-alpha,Moderate-severe IBD; Rheumatoid arthritis,High
DC064,Anti-integrin Agents (Vedolizumab),Gastroenterology,Blockade of alpha4beta7 integrin preventing lymphocyte gut homing,Ulcerative colitis; Crohn's disease,High
DC065,Anti-IL12/23 Agents (Ustekinumab),Gastroenterology,Inhibition of IL-12 and IL-23,Psoriasis; Crohn's disease,High
DC066,JAK Inhibitors (Tofacitinib),Gastroenterology,Inhibition of JAK enzymes reducing cytokine signaling,Ulcerative colitis; Rheumatoid arthritis,High
DC067,Antiemetics (Ondansetron),Gastroenterology,5-HT3 receptor antagonist,Nausea; Vomiting; Chemotherapy-induced,Low
DC068,Laxatives (Stimulant),Gastroenterology,Stimulation of colonic motility,Constipation; Bowel prep,Low
DC069,Laxatives (Osmotic),Gastroenterology,Osmotic retention of fluid in bowel,Constipation; Bowel prep,Low
DC070,Antidiarrheals (Loperamide),Gastroenterology,Opioid receptor agonist reducing peristalsis,Diarrhea,Low
DC071,Antispasmodics (Hyoscine),Gastroenterology,Anticholinergic reducing smooth muscle spasm,IBS; Abdominal cramps,Low
DC072,Ursodeoxycholic Acid,Gastroenterology,Reduction of cholesterol saturation in bile,Primary biliary cholangitis; Gallstone dissolution,Low
DC073,Levodopa/Carbidopa,Neurology,Precursor of dopamine with peripheral decarboxylase inhibitor,Parkinson's disease,Medium
DC074,Dopamine Agonists (Pramipexole),Neurology,Activation of dopamine D2/D3 receptors,Parkinson's disease; Restless legs,Medium
DC075,COMT Inhibitors (Entacapone),Neurology,Inhibition of catechol-O-methyltransferase prolonging levodopa effect,Parkinson's disease,Medium
DC076,MAO-B Inhibitors (Selegiline),Neurology,Inhibition of MAO-B reducing dopamine breakdown,Parkinson's disease,Medium
DC077,Anticholinergics (Parkinson's),Neurology,Blockade of muscarinic receptors,Parkinson's tremor; Drug-induced parkinsonism,Low
DC078,Amantadine,Neurology,Antiviral with NMDA antagonist properties,Parkinson's dyskinesia; Influenza,Low
DC079,Acetylcholinesterase Inhibitors (Donepezil),Neurology,Inhibition of acetylcholinesterase increasing acetylcholine,Alzheimer's disease,Medium
DC080,NMDA Receptor Antagonists (Memantine),Neurology,Non-competitive NMDA antagonist,Alzheimer's disease,Medium
DC081,Antiepileptics (Phenytoin),Neurology,Na channel stabilization,Partial and generalized seizures,High
DC082,Antiepileptics (Carbamazepine),Neurology,Na channel inhibition; possibly other,Partial seizures; Trigeminal neuralgia; Bipolar,High
DC083,Antiepileptics (Valproate),Neurology,Multiple mechanisms: Na channel, GABA potentiation,Generalized seizures; Bipolar; Migraine,High
DC084,Antiepileptics (Lamotrigine),Neurology,Na channel inhibition; glutamate release inhibition,Partial and generalized seizures; Bipolar,Medium
DC085,Antiepileptics (Levetiracetam),Neurology,SV2A modulation,Partial and generalized seizures,Medium
DC086,Antiepileptics (Topiramate),Neurology,Multiple mechanisms including Na channel, GABA potentiation,Partial seizures; Migraine prophylaxis; Bipolar,Medium
DC087,Benzodiazepines (Clonazepam),Neurology,GABA-A receptor potentiation,Status epilepticus; Anxiety; Myoclonus,High
DC088,Barbiturates (Phenobarbital),Neurology,GABA-A potentiation; glutamate inhibition,Generalized seizures; Status epilepticus,High
DC089,Triptans (Sumatriptan),Neurology,5-HT1B/1D receptor agonist causing vasoconstriction,Acute migraine,Low
DC090,Ergot Derivatives,Neurology,5-HT1 receptor agonist; vasoconstrictor,Migraine; Cluster headache,High
DC091,CGRP Antagonists (Gepants),Neurology,Inhibition of CGRP receptor,Acute migraine; Migraine prevention,Medium
DC092,CGRP Monoclonal Antibodies,Neurology,Neutralization of CGRP or its receptor,Migraine prevention,High
DC093,Muscle Relaxants (Baclofen),Neurology,GABA-B agonist,Spasticity; Hiccups,Medium
DC094,Tizanidine,Neurology,Alpha-2 adrenergic agonist reducing spasticity,Spasticity,Medium
DC095,Dantrolene,Neurology,Inhibition of ryanodine receptor reducing calcium release,Malignant hyperthermia; Spasticity,High
DC096,Immunomodulators for MS (Interferon beta),Neurology,Anti-inflammatory and antiviral effects,Multiple sclerosis (relapsing),High
DC097,Glatiramer Acetate,Neurology,Immunomodulatory; mimics myelin basic protein,Multiple sclerosis (relapsing),High
DC098,Natalizumab,Neurology,Anti-alpha4 integrin preventing lymphocyte CNS entry,Multiple sclerosis (relapsing),High
DC099,Fingolimod,Neurology,Sphingosine-1-phosphate receptor modulator trapping lymphocytes in nodes,Multiple sclerosis (relapsing),High
DC100,Dimethyl Fumarate,Neurology,Activation of Nrf2 pathway,Multiple sclerosis (relapsing),High
DC101,Teriflunomide,Neurology,Inhibition of dihydroorotate dehydrogenase reducing lymphocyte proliferation,Multiple sclerosis (relapsing),High
DC102,Alemtuzumab,Neurology,Anti-CD52 depleting lymphocytes,Multiple sclerosis (relapsing),High
DC103,Ocrelizumab,Neurology,Anti-CD20 depleting B cells,Multiple sclerosis (primary progressive),High
DC104,Platinum-based Chemotherapy (Cisplatin),Oncology,Crosslinking DNA inhibiting replication,Multiple solid tumors,High
DC105,Taxanes (Paclitaxel),Oncology,Stabilization of microtubules inhibiting mitosis,Breast; Ovarian; Lung,High
DC106,Anthracyclines (Doxorubicin),Oncology,Intercalation with DNA; topoisomerase II inhibition,Multiple cancers,High
DC107,Antimetabolites (5-FU),Oncology,Inhibition of thymidylate synthase,Colorectal; Breast; Head & neck,High
DC108,Antimetabolites (Gemcitabine),Oncology,Inhibition of DNA synthesis,Pancreatic; Lung; Bladder,High
DC109,Alkylating Agents (Cyclophosphamide),Oncology,Crosslinking DNA,Lymphoma; Leukemia; Breast; Ovarian,High
DC110,Topoisomerase Inhibitors (Etoposide),Oncology,Inhibition of topoisomerase II,Lung; Testicular; Lymphoma,High
DC111,Monoclonal Antibodies (Trastuzumab),Oncology,HER2/neu receptor blockade,HER2+ breast cancer; Gastric,High
DC112,Monoclonal Antibodies (Rituximab),Oncology,CD20 depletion,Non-Hodgkin lymphoma; CLL; Autoimmune,High
DC113,Monoclonal Antibodies (Bevacizumab),Oncology,VEGF inhibition anti-angiogenesis,Colorectal; Lung; Renal; Glioblastoma,High
DC114,Tyrosine Kinase Inhibitors (Imatinib),Oncology,BCR-ABL; c-KIT; PDGFR inhibition,CML; GIST,High
DC115,Immune Checkpoint Inhibitors (PD-1),Oncology,Blockade of PD-1/PD-L1 pathway,Melanoma; Lung; Renal; Many others,High
DC116,Immune Checkpoint Inhibitors (CTLA-4),Oncology,Blockade of CTLA-4,Melanoma; Renal,High
DC117,mTOR Inhibitors (Everolimus),Oncology,Inhibition of mTOR,Renal; Breast; Neuroendocrine; Tuberous sclerosis,High
DC118,Proteasome Inhibitors (Bortezomib),Oncology,Inhibition of proteasome,Multiple myeloma; Mantle cell lymphoma,High
DC119,Immunomodulatory Drugs (Lenalidomide),Oncology,Multiple: anti-angiogenic; immunomodulatory,Multiple myeloma; MDS; Lymphoma,High
DC120,Histone Deacetylase Inhibitors,Oncology,Epigenetic modification,CTCL; Multiple myeloma,High
DC121,ARVs (NRTIs),Infectious Diseases,Chain termination of HIV reverse transcription,HIV,High
DC122,ARVs (NNRTIs),Infectious Diseases,Non-competitive inhibition of HIV reverse transcriptase,HIV,High
DC123,ARVs (Protease Inhibitors),Infectious Diseases,Inhibition of HIV protease preventing virion maturation,HIV,High
DC124,ARVs (Integrase Inhibitors),Infectious Diseases,Inhibition of HIV integrase,HIV,High
DC125,ARVs (Entry Inhibitors),Infectious Diseases,Blocking HIV entry via CCR5 or fusion,HIV,High
DC126,Antibiotics (Penicillins),Infectious Diseases,Inhibition of bacterial cell wall synthesis,Broad spectrum bacterial infections,Low
DC127,Antibiotics (Cephalosporins),Infectious Diseases,Inhibition of cell wall synthesis,Broad spectrum bacterial infections,Low
DC128,Antibiotics (Carbapenems),Infectious Diseases,Inhibition of cell wall synthesis,Serious Gram-negative infections; ESBL,High
DC129,Antibiotics (Macrolides),Infectious Diseases,Inhibition of bacterial protein synthesis (50S),Respiratory; Atypical; STIs,Low
DC130,Antibiotics (Tetracyclines),Infectious Diseases,Inhibition of bacterial protein synthesis (30S),Acne; Atypical; Rickettsia; STIs,Low
DC131,Antibiotics (Aminoglycosides),Infectious Diseases,Inhibition of protein synthesis (30S) bactericidal,Serious Gram-negative infections; Synergy,High
DC132,Antibiotics (Fluoroquinolones),Infectious Diseases,Inhibition of DNA gyrase and topoisomerase IV,UTI; Respiratory; GI,Medium
DC133,Antibiotics (Sulfonamides),Infectious Diseases,Inhibition of folate synthesis,UTI; Nocardia; Toxoplasmosis,Low
DC134,Antibiotics (Trimethoprim),Infectious Diseases,Inhibition of dihydrofolate reductase,UTI; PJP prophylaxis,Low
DC135,Antibiotics (Metronidazole),Infectious Diseases,Disruption of DNA in anaerobic organisms,Anaerobes; Protozoa; H. pylori,Low
DC136,Antibiotics (Clindamycin),Infectious Diseases,Inhibition of protein synthesis (50S),Anaerobes; Skin; Bone; Toxoplasmosis,Medium
DC137,Antibiotics (Linezolid),Infectious Diseases,Inhibition of protein synthesis (50S),MRSA; VRE,High
DC138,Antibiotics (Daptomycin),Infectious Diseases,Disruption of cell membrane,Gram-positive infections; MRSA; VRE,High
DC139,Antifungals (Azoles),Infectious Diseases,Inhibition of ergosterol synthesis,Superficial and systemic fungal infections,Medium
DC140,Antifungals (Polyenes),Infectious Diseases,Binding to ergosterin causing cell leakage,Severe systemic fungal infections,High
DC141,Antifungals (Echinocandins),Infectious Diseases,Inhibition of beta-glucan synthesis,Candidemia; Aspergillosis,High
DC142,Antifungals (Flucytosine),Infectious Diseases,Inhibition of DNA/RNA synthesis,Cryptococcus; Candida (combination),High
DC143,Antivirals (Acyclovir),Infectious Diseases,Inhibition of viral DNA polymerase,HSV; VZV,Low
DC144,Antivirals (Ganciclovir),Infectious Diseases,Inhibition of viral DNA polymerase,CMV,High
DC145,Antivirals (Oseltamivir),Infectious Diseases,Neuraminidase inhibition,Influenza A and B,Medium
DC146,Antivirals (Ribavirin),Infectious Diseases,Multiple mechanisms including IMPDH inhibition,RSV; Hepatitis C (with IFN); Viral hemorrhagic fevers,High
DC147,Antivirals (Sofosbuvir),Infectious Diseases,NS5B polymerase inhibitor,Hepatitis C,High
DC148,Antivirals (Direct-acting anti-HCV),Infectious Diseases,Inhibition of NS3/4A protease, NS5A, etc.,Hepatitis C,High
DC149,Antivirals (Remdesivir),Infectious Diseases,RNA polymerase inhibitor,COVID-19; Ebola,High
DC150,Antivirals (Lamivudine),Infectious Diseases,Reverse transcriptase inhibitor (NRTI),Hepatitis B; HIV,Medium
DC151,Antivirals (Adefovir),Infectious Diseases,Reverse transcriptase inhibitor (NtRTI),Hepatitis B,High
DC152,Antivirals (Entecavir),Infectious Diseases,Reverse transcriptase inhibitor (NRTI),Hepatitis B,High
DC153,Antivirals (Tenofovir),Infectious Diseases,Reverse transcriptase inhibitor (NtRTI),Hepatitis B; HIV,High
DC154,Antivirals (Interferon-alpha),Infectious Diseases,Immunomodulatory and antiviral,Chronic hepatitis B/C; CML; Melanoma,High
DC155,Antimalarials (Chloroquine),Infectious Diseases,Inhibition of heme polymerization in parasite,Malaria; Amebiasis; Autoimmune (SLE),Medium
DC156,Antimalarials (Artemisinin),Infectious Diseases,Generation of free radicals damaging parasite proteins,Malaria,Medium
DC157,Antimalarials (Mefloquine),Infectious Diseases,Unknown,Malaria prophylaxis; Treatment,High
DC158,Antimalarials (Atovaquone-Proguanil),Infectious Diseases,Inhibition of electron transport and folate synthesis,Malaria prophylaxis; Treatment,Medium
DC159,Antimalarials (Quinine),Infectious Diseases,Interference with heme polymerase,Severe malaria,High
DC160,Antituberculars (Isoniazid),Infectious Diseases,Inhibition of mycolic acid synthesis,TB,High
DC161,Antituberculars (Rifampin),Infectious Diseases,Inhibition of bacterial RNA synthesis,TB; Leprosy; Legionella; Staph,High
DC162,Antituberculars (Pyrazinamide),Infectious Diseases,Unknown, active in acidic environment,TB,High
DC163,Antituberculars (Ethambutol),Infectious Diseases,Inhibition of arabinosyl transferase,TB,High
DC164,Antituberculars (Streptomycin),Infectious Diseases,Inhibition of protein synthesis (30S),TB (second-line); Plague,High
DC165,Antituberculars (Fluoroquinolones for TB),Infectious Diseases,Inhibition of DNA gyrase,Multidrug-resistant TB,High
DC166,Antituberculars (Bedaquiline),Infectious Diseases,Inhibition of mycobacterial ATP synthase,Multidrug-resistant TB,High
DC167,Antituberculars (Delamanid),Infectious Diseases,Inhibition of mycolic acid synthesis,Multidrug-resistant TB,High
DC168,Anthelmintics (Albendazole),Infectious Diseases,Inhibition of microtubule synthesis,Intestinal helminths; Hydatid; Neurocysticercosis,Low
DC169,Anthelmintics (Mebendazole),Infectious Diseases,Inhibition of microtubule synthesis,Intestinal helminths,Low
DC170,Anthelmintics (Ivermectin),Infectious Diseases,Glutamate-gated chloride channel agonist,Onchocerciasis; Strongyloidiasis; Scabies,Medium
DC171,Anthelmintics (Praziquantel),Infectious Diseases,Increase membrane permeability to calcium,Schistosomiasis; Cestodes; Trematodes,Medium
DC172,Anthelmintics (Diethylcarbamazine),Infectious Diseases,Unknown, microfilariacidal,Lymphatic filariasis; Loa loa,High
DC173,Antiprotozoals (Metronidazole) (same as 135)
DC174,Antiprotozoals (Tinidazole),Infectious Diseases,Similar to metronidazole,Amebiasis; Giardiasis; Trichomoniasis,Low
DC175,Antiprotozoals (Pentamidine),Infectious Diseases,Inhibition of nucleic acid synthesis,Pneumocystis jirovecii; Leishmaniasis,High
DC176,Antiprotozoals (Suramin),Infectious Diseases,Inhibition of parasitic enzymes,African trypanosomiasis,High
DC177,Antiprotozoals (Melarsoprol),Infectious Diseases,Binding to trypanothione,African trypanosomiasis (second stage),High
DC178,Antiprotozoals (Eflornithine),Infectious Diseases,Inhibition of ornithine decarboxylase,African trypanosomiasis (T. brucei gambiense),High
DC179,Antiprotozoals (Nifurtimox),Infectious Diseases,Generation of reactive oxygen,Chagas disease,High
DC180,Antiprotozoals (Benznidazole),Infectious Diseases,Similar to nifurtimox,Chagas disease,High
DC181,Antiprotozoals (Miltefosine),Infectious Diseases,Inhibition of cell membrane synthesis,Leishmaniasis,High
DC182,Antiprotozoals (Amphotericin B) (see polyenes)
DC183,Antiprotozoals (Paromomycin),Infectious Diseases,Inhibition of protein synthesis (30S),Leishmaniasis; Amebiasis,Medium
DC184,Inhaled Corticosteroids (Fluticasone),Pulmonology,Activation of glucocorticoid receptors reducing inflammation,Asthma; COPD,Low
DC185,Inhaled Long-acting Beta Agonists (LABA),Pulmonology,Activation of beta-2 adrenergic receptors bronchodilation,Asthma; COPD (with ICS),Medium
DC186,Inhaled Short-acting Beta Agonists (SABA),Pulmonology,Activation of beta-2 adrenergic receptors,Acute bronchospasm,Low
DC187,Inhaled Long-acting Muscarinic Antagonists (LAMA),Pulmonology,Blockade of M3 muscarinic receptors bronchodilation,COPD; Asthma,Medium
DC188,Inhaled Short-acting Muscarinic Antagonists (SAMA),Pulmonology,Blockade of M3 receptors,Acute COPD exacerbation,Low
DC189,Leukotriene Receptor Antagonists (Montelukast),Pulmonology,Blockade of cysteinyl leukotriene receptors,Asthma; Allergic rhinitis,Low
DC190,Mast Cell Stabilizers (Cromolyn),Pulmonology,Inhibition of mast cell degranulation,Asthma prophylaxis; Allergic conjunctivitis,Low
DC191,Methylxanthines (Theophylline),Pulmonology,Non-selective phosphodiesterase inhibition; adenosine antagonism,Asthma; COPD,High
DC192,Anti-IgE (Omalizumab),Pulmonology,Neutralization of IgE,Severe allergic asthma; Chronic urticaria,High
DC193,Anti-IL5 (Mepolizumab),Pulmonology,Neutralization of IL-5 reducing eosinophils,Severe eosinophilic asthma,High
DC194,Anti-IL5R (Benralizumab),Pulmonology,Blockade of IL-5 receptor depleting eosinophils,Severe eosinophilic asthma,High
DC195,Anti-IL4R (Dupilumab),Pulmonology,Blockade of IL-4 and IL-13 signaling,Asthma; Atopic dermatitis; Nasal polyps,High
DC196,Antifibrotics (Pirfenidone),Pulmonology,Anti-inflammatory and antifibrotic,Idiopathic pulmonary fibrosis,High
DC197,Antifibrotics (Nintedanib),Pulmonology,Inhibition of multiple tyrosine kinases,IPF; SSc-ILD,High
DC198,Pulmonary Vasodilators (PDE5 inhibitors),Pulmonology,Inhibition of PDE5 increasing cGMP,Pulmonary arterial hypertension,High
DC199,Pulmonary Vasodilators (Endothelin antagonists),Pulmonology,Blockade of endothelin receptors,Pulmonary arterial hypertension,High
DC200,Pulmonary Vasodilators (Prostacyclin analogs),Pulmonology,Activation of IP receptors increasing cAMP,Pulmonary arterial hypertension,High
DC201,Pulmonary Vasodilators (sGC stimulators),Pulmonology,Stimulation of soluble guanylate cyclase,Pulmonary arterial hypertension,High
DC202,Topical Corticosteroids (Dermatology),Dermatology,Anti-inflammatory via glucocorticoid receptor,Inflammatory skin disorders (eczema, psoriasis),Low
DC203,Topical Calcineurin Inhibitors (Tacrolimus),Dermatology,Inhibition of calcineurin reducing T-cell activation,Atopic dermatitis; Vitiligo,Medium
DC204,Topical Retinoids (Tretinoin),Dermatology,Activation of retinoid receptors,Acne; Photoaging,Low
DC205,Topical Antibiotics (Clindamycin),Dermatology,Bacterial protein synthesis inhibition,Acne; Bacterial skin infections,Low
DC206,Topical Antifungals (Clotrimazole),Dermatology,Ergosterol synthesis inhibition,Superficial fungal infections,Low
DC207,Topical Antivirals (Acyclovir),Dermatology,DNA polymerase inhibition,Herpes labialis,Low
DC208,Topical Vitamin D Analogs (Calcipotriene),Dermatology,Activation of vitamin D receptors,Psoriasis,Low
DC209,Topical Coal Tar,Dermatology,Antiproliferative,Psoriasis; Seborrheic dermatitis,Low
DC210,Topical Anthralin,Dermatology,Antiproliferative,Psoriasis,Low
DC211,Systemic Retinoids (Acitretin),Dermatology,Activation of retinoid receptors,Severe psoriasis; Keratinization disorders,High
DC212,Systemic Retinoids (Isotretinoin),Dermatology,Reduction of sebum production; normalization of follicular keratinization,Severe nodular acne,High
DC213,Biologics for Psoriasis (Anti-TNF),Dermatology,TNF inhibition,Plaque psoriasis; Psoriatic arthritis,High
DC214,Biologics for Psoriasis (Anti-IL17),Dermatology,IL-17 inhibition,Plaque psoriasis; Psoriatic arthritis,High
DC215,Biologics for Psoriasis (Anti-IL23),Dermatology,IL-23 inhibition,Plaque psoriasis,High
DC216,Phosphodiesterase-4 Inhibitors (Apremilast),Dermatology,Inhibition of PDE4 increasing cAMP,Psoriasis; Psoriatic arthritis,Medium
DC217,Janus Kinase Inhibitors (Topical),Dermatology,Inhibition of JAK-STAT pathway,Atopic dermatitis,Medium
DC218,Antidepressants (SSRIs),Psychiatry,Inhibition of serotonin reuptake,Depression; Anxiety; OCD; PTSD,Low
DC219,Antidepressants (SNRIs),Psychiatry,Inhibition of serotonin and norepinephrine reuptake,Depression; Anxiety; Neuropathic pain; Fibromyalgia,Medium
DC220,Antidepressants (TCAs),Psychiatry,Inhibition of serotonin and norepinephrine reuptake; multiple receptor actions,Depression; Neuropathic pain; Migraine prophylaxis,High
DC221,Antidepressants (MAOIs),Psychiatry,Irreversible inhibition of MAO-A and MAO-B,Depression (atypical); Anxiety; Parkinson's,High
DC222,Antidepressants (NaSSAs),Psychiatry,Antagonism of alpha2-adrenoceptors and 5-HT2/5-HT3 receptors,Depression; Anxiety,Medium
DC223,Antipsychotics (Typical - Haloperidol),Psychiatry,Dopamine D2 receptor blockade,Schizophrenia; Acute psychosis; Tourette's,High
DC224,Antipsychotics (Atypical - Risperidone),Psychiatry,Dopamine D2 and serotonin 5-HT2A blockade,Schizophrenia; Bipolar; Autism irritability,Medium
DC225,Antipsychotics (Atypical - Olanzapine),Psychiatry,Multiple receptor antagonism,Schizophrenia; Bipolar; Agitation,Medium
