Population / Condition,Substance,Type alerte,Sévérité,Explication détaillée,Conduite à tenir
Allaitement,Vitamine D,RECOMMANDÉ,modérée,Le lait maternel contient peu de vitamine D. Le nourrisson a besoin de supplémentation directe.,Supplémenter le bébé: 400 UI/j dès la naissance. La mère peut prendre 4000 UI/j pour enrichir son lait.
Allaitement,Oméga 3 DHA,RECOMMANDÉ,faible,Le DHA est transmis par le lait maternel → développement cérébral du nourrisson.,La mère devrait consommer 200-300mg DHA/j.
Allaitement,Caféine,LIMITER,modérée,La caféine passe dans le lait maternel. Le nourrisson la métabolise lentement (demi-vie 80-100h).,"Maximum 200-300mg/j (1-2 cafés). Observer le bébé: irritabilité, troubles du sommeil."
Enfants < 3 ans,Miel,CONTRE-INDIQUÉ < 1 an,haute,Risque de botulisme infantile (Clostridium botulinum). Le système digestif immature ne neutralise pas les spores.,⚠️ JAMAIS de miel avant 1 an. Après 1 an: OK.
Enfants < 3 ans,Huiles essentielles,CONTRE-INDIQUÉ,haute,"Les HE sont neurotoxiques et hépatotoxiques chez le petit enfant (système immature). Eucalyptol et camphre → convulsions, apnée.",⚠️ AUCUNE huile essentielle avant 3 ans (certaines avant 7 ans). Exception: lavande vraie diluée après 3 mois.
Enfants < 6 ans,Menthe poivrée (HE),CONTRE-INDIQUÉ,haute,Le menthol peut provoquer un spasme laryngé et une apnée réflexe chez le petit enfant.,⚠️ PAS de menthe poivrée avant 6 ans.
Enfants,Vitamine D,ESSENTIEL,haute,"Prévention du rachitisme. Croissance osseuse. 400-600 UI/j selon l'âge, toute l'année.",0-1 an: 400 UI/j. 1-18 ans: 600 UI/j. Plus si peau foncée ou peu d'exposition solaire.
Enfants,Fer,SURVEILLANCE,modérée,"Carence en fer fréquente chez l'enfant (croissance rapide, alimentation sélective). Affecte le développement cognitif.","Doser la ferritine si fatigue, pâleur, troubles d'apprentissage."
Enfants,Vitamine A (haute dose),PRUDENCE,haute,"L'hypervitaminose A est plus rapide chez l'enfant (petit foie). Signes: céphalées, fontanelle bombée, vomissements.",Ne pas dépasser les apports recommandés. Pas de multi-vitamines + vitamine A en plus.
Enfants,Fluor,DOSES ADAPTÉES,modérée,Le fluor prévient les caries mais un excès cause la fluorose dentaire (taches blanches irréversibles).,0-6 mois: 0.25mg. 6m-3ans: 0.25-0.5mg. 3-6 ans: 0.5-1mg. >6 ans: 1mg/j. Pas de double source.
Enfants < 12 ans,Aspirine,CONTRE-INDIQUÉ,critique,Syndrome de Reye: encéphalopathie hépatique mortelle associée à l'aspirine chez l'enfant fébrile.,⚠️ JAMAIS d'aspirine chez l'enfant fébrile. Paracétamol ou ibuprofène uniquement.
Enfants,Millepertuis,CONTRE-INDIQUÉ <12 ans,modérée,Manque de données de sécurité chez l'enfant.,NE PAS utiliser avant 12 ans.
Enfants,Mélatonine,PRUDENCE,modérée,La mélatonine exogène peut affecter le développement pubertaire (action sur l'axe hypothalamo-hypophyso-gonadique).,Uniquement sous avis médical. Courte durée. 0.5-1mg max (pas les doses adultes de 3-5mg).
Enfants,Probiotiques,GÉNÉRALEMENT SÛR,faible,"Les probiotiques (Lactobacillus, Bifidobacterium) sont bien tolérés chez l'enfant >3 mois.","Choisir des souches pédiatriques étudiées: L. rhamnosus GG, B. lactis Bb12."
Personnes âgées (>65 ans),Vitamine D,ESSENTIEL,haute,"70% des >65 ans sont carencés. La synthèse cutanée diminue de 75% avec l'âge. Risque de chutes, fractures, sarcopénie.",Doser la 25-OH-D3 annuellement. Objectif: >30 ng/mL. Supplémenter: 800-2000 UI/j.
Personnes âgées,Calcium,SOUVENT NÉCESSAIRE,modérée,L'absorption du calcium diminue avec l'âge. Ostéoporose fréquente.,1200mg/j au total (alimentation + supplément). TOUJOURS avec vitamine D.
Personnes âgées,Vitamine B12,SURVEILLANCE,haute,30% des >60 ans ont une gastrite atrophique → défaut d'absorption de la B12 liée aux protéines. Carence en B12 sous-diagnostiquée.,Doser la B12 annuellement après 60 ans. Sublingual ou IM si gastrite atrophique.
Personnes âgées,Coenzyme Q10,BÉNÉFIQUE,modérée,La synthèse endogène de CoQ10 diminue dès 40 ans. Le CoQ10 soutient l'énergie mitochondriale et protège le cœur.,100-200mg/j avec un repas gras. Quasi obligatoire si sous statines.
Personnes âgées,Calcium excès + Vitamine D insuffisant,DANGER,haute,"Calcium sans vitamine D = calcium qui ne va pas dans les os → calcification vasculaire → AVC, infarctus.",⚠️ TOUJOURS Ca + Vit D + Vit K2 ensemble. JAMAIS du calcium seul.
Personnes âgées,Protéines / Leucine,NÉCESSAIRE,modérée,La sarcopénie (perte musculaire liée à l'âge) touche 30% des >65 ans. Besoins protéiques augmentés: 1.2g/kg/j.,Enrichir en protéines + leucine (3g/repas). Complément protéiné si alimentation insuffisante.
Personnes âgées,Magnésium,SOUVENT NÉCESSAIRE,modérée,"Carence fréquente (alimentation appauvrie, médicaments polypharmacie). Lié aux crampes, insomnie, troubles du rythme.",Doser le magnésium érythrocytaire (pas le sanguin). Supplémenter si carence.
Personnes âgées,Ginkgo biloba,PRUDENCE,modérée,Effet anti-plaquettaire → risque hémorragique accru chez des patients souvent sous anticoagulants/antiplaquettaires.,Contre-indiqué si sous AVK ou antiplaquettaire. Sinon: OK pour la cognition.
Personnes âgées,Polypharmacie,ALERTE GÉNÉRALE,haute,Les >65 ans prennent en moyenne 5-7 médicaments. TOUT supplément est une interaction potentielle.,⚠️ TOUJOURS vérifier les interactions avec TOUS les médicaments en cours.
Personnes âgées,Créatine + Vitamine D,BÉNÉFIQUE,faible,Association étudiée pour la sarcopénie: améliore la force et la masse musculaire.,3-5g créatine/j + vitamine D 1000 UI/j + exercice de résistance.
Personnes âgées,Zinc,SOUVENT NÉCESSAIRE,modérée,"Carence fréquente → immunité réduite, perte de goût, cicatrisation ralentie.","Doser le zinc si infections à répétition, plaies chroniques, anorexie."
Personnes âgées,Oméga 3,RECOMMANDÉ,faible,"Protection cardiovasculaire, anti-inflammatoire, neuroprotection.",1-2g EPA+DHA/j. Vérifier interaction si anticoagulant.
Insuffisance rénale,Potassium,CONTRE-INDIQUÉ,critique,Les reins ne peuvent plus excréter le potassium → hyperkaliémie → arrêt cardiaque.,"⚠️ INTERDIT sans contrôle biologique. Même les compléments 'naturels' riches en K⁺ (banane, jus de nectarine)."
Insuffisance rénale,Magnésium,PRUDENCE,haute,L'excrétion rénale du magnésium est réduite → hypermagnésémie → dépression respiratoire.,Dose réduite ou CI selon le DFG. Doser le magnésium sanguin.
Insuffisance rénale,Vitamine D,PRUDENCE,haute,"Le rein ne convertit plus la 25-OH-D3 en 1,25-diOH-D3 active. Supplémenter en calcifédiol ou calcitriol, pas en cholécalciférol.",Sous supervision néphrologique. Utiliser la FORME ACTIVE de vitamine D.
Insuffisance rénale,Phosphore,LIMITER,haute,"Le rein ne peut plus excréter le phosphore → hyperphosphorémie → calcifications vasculaires, ostéodystrophie.",Régime pauvre en phosphore. Chélateurs de phosphate si besoin.
Insuffisance rénale,Vitamine C haute dose,CONTRE-INDIQUÉ,haute,La vitamine C est métabolisée en oxalate → risque de lithiase oxalique si le rein ne peut pas éliminer.,Maximum 100mg/j en insuffisance rénale. Pas de mégadose.
Insuffisance rénale,Créatine,PRUDENCE,modérée,La créatine augmente la créatinine (marqueur d'évaluation de la fonction rénale) → fausse alerte + surcharge rénale potentielle.,Déconseillé si DFG < 60 mL/min. Doser la fonction rénale.
Insuffisance rénale,Protéines haute dose,LIMITER,haute,Les protéines augmentent la charge azotée du rein. Limiter si DFG < 45.,0.6-0.8 g/kg/j si IR sévère. Sous contrôle néphro.
Insuffisance hépatique,Vitamine A,CONTRE-INDIQUÉ,haute,La vitamine A est stockée et métabolisée dans le foie. En cas de cirrhose: risque d'hépatotoxicité même à dose normale.,NE PAS supplémenter en vitamine A si atteinte hépatique.
Insuffisance hépatique,Fer,PRUDENCE,haute,Le fer est stocké dans le foie (ferritine). Surcharge hépatique en fer → stress oxydatif → aggravation cirrhose.,Ne supplémenter que si carence documentée.
Insuffisance hépatique,Paracétamol,RÉDUIRE,haute,Le foie cirrhotique a moins de glutathion → métabolite toxique (NAPQI) non détoxifié → nécrose hépatique.,Maximum 2g/j (au lieu de 4g). Préférer eviter si possible.
Insuffisance hépatique,Kava kava,CONTRE-INDIQUÉ,critique,Hépatotoxicité prouvée du kava → hépatite fulminante. Interdit dans plusieurs pays.,⚠️ CONTRE-INDICATION ABSOLUE.
Insuffisance hépatique,Chardon-marie (silymarine),BÉNÉFIQUE,modérée,"La silymarine est hépatoprotectrice: antioxydant, anti-fibrotique, régénération des hépatocytes.",200-400mg de silymarine/j. Un des rares compléments bénéfiques en hépatopathie.
Insuffisance hépatique,NAC (N-acétylcystéine),BÉNÉFIQUE,modérée,Le NAC régénère le glutathion hépatique. Antidote de l'intoxication paracétamol.,600-1200mg/j. Hépatoprotecteur prouvé.
Insuffisance hépatique,Millepertuis,CONTRE-INDIQUÉ,modérée,Perturbation du métabolisme des médicaments (cytochromes). Hépatotoxicité rapportée.,NE PAS utiliser.
Insuffisance hépatique,Actée à grappes noires,CONTRE-INDIQUÉ,haute,Cas d'hépatite grave rapportés et retrait du marché dans certains pays.,CONTRE-INDIQUÉ si hépatopathie.
"Maladies auto-immunes (lupus, SEP, PR)",Échinacée,CONTRE-INDIQUÉ,haute,L'échinacée stimule l'immunité innée → peut déclencher ou aggraver une poussée auto-immune.,"CONTRE-INDIQUÉ dans: lupus, sclérose en plaques, polyarthrite rhumatoïde, maladie de Crohn."
Maladies auto-immunes,Astragale,CONTRE-INDIQUÉ,haute,Immunostimulant → risque de poussée auto-immune.,CONTRE-INDIQUÉ.
Maladies auto-immunes,"Champignons médicinaux (reishi, shiitake)",CONTRE-INDIQUÉ,modérée,Les β-glucanes stimulent les macrophages et les NK.,DÉCONSEILLÉ si maladie auto-immune active.
Maladies auto-immunes,Spiruline,PRUDENCE,modérée,La spiruline peut stimuler les lymphocytes T et l'immunité. Études contradictoires dans l'auto-immunité.,Par précaution: déconseillé si maladie auto-immune sévère ou active.
Maladies auto-immunes,Vitamine D,BÉNÉFIQUE,modérée,La vitamine D est immunomodulatrice (pas immunostimulante). Elle régule les T regulateurs → potentiellement bénéfique.,Supplémenter si carence. La vitamine D réduit le risque d'auto-immunité dans les études.
Maladies auto-immunes,Oméga 3,BÉNÉFIQUE,modérée,Les oméga 3 sont anti-inflammatoires (résolvines) → potentiellement bénéfiques dans l'auto-immunité inflammatoire.,2-4g EPA+DHA/j. Études positives dans la PR et le lupus.
Troubles de la coagulation,Vitamine E (>400 UI),CONTRE-INDIQUÉ,haute,La vitamine E inhibe l'agrégation plaquettaire → saignement accru.,Maximum 100 UI/j si trouble de coagulation.
Troubles de la coagulation,Oméga 3 (>3g),PRUDENCE,haute,Effet anti-plaquettaire dose-dépendant.,Limiter à 1-2g/j. Surveillance clinique.
Troubles de la coagulation,Ginkgo biloba,CONTRE-INDIQUÉ,haute,Anti-PAF → inhibition plaquettaire.,CONTRE-INDIQUÉ.
Troubles de la coagulation,Ail concentré,PRUDENCE,modérée,L'allicine inhibe la thromboxane synthétase.,Prudence avec les suppléments d'ail concentré. Ail alimentaire: OK.
Épilepsie,Sauge,CONTRE-INDIQUÉ,haute,La thuyone de la sauge est proconvulsivante → peut déclencher des crises.,CONTRE-INDIQUÉ chez l'épileptique. Toute la famille des sauges.
Épilepsie,Romarin (HE),CONTRE-INDIQUÉ,haute,"L'huile essentielle de romarin (camphre, 1,8-cinéole) est neurotoxique à forte dose et proconvulsivante.",CONTRE-INDIQUÉ en huile essentielle. Le romarin culinaire: OK.
Épilepsie,Hysope (HE),CONTRE-INDIQUÉ,haute,La pinocamphone de l'hysope est fortement convulsivante.,CONTRE-INDICATION ABSOLUE.
Épilepsie,Millepertuis,CONTRE-INDIQUÉ,haute,Le millepertuis réduit les taux d'antiépileptiques par induction enzymatique → crise convulsive.,⚠️ CONTRE-INDICATION ABSOLUE.
Épilepsie,Menthol,PRUDENCE,modérée,Le menthol peut abaisser le seuil épileptogène chez certaines personnes.,Prudence avec les produits fortement mentholés.
Épilepsie,Oméga 3 DHA,BÉNÉFIQUE POTENTIEL,faible,Le DHA est neuroprotecteur et pourrait réduire la fréquence des crises épileptiques non-contrôlées.,Études préliminaires. Possible comme adjuvant. Ne remplace pas le traitement.
Diabète,Chrome,BÉNÉFIQUE (type 2),modérée,Le chrome améliore la sensibilité à l'insuline. Études: réduction HbA1c de 0.5-1% en type 2.,200-1000 µg/j de picolinate de chrome. Surveillance glycémique si antidiabétique oral.
Diabète,Magnésium,BÉNÉFIQUE,modérée,30-50% des diabétiques type 2 sont carencés en magnésium. Carence → résistance à l'insuline.,Doser le magnésium. Supplémenter si carence: 300-400mg/j.
Diabète,Berbérine,PUISSANT (≈ metformine),haute,La berbérine active l'AMPK. Études: réduction HbA1c similaire à la metformine (0.5-1.5%).,⚠️ NE PAS combiner avec la metformine. Surveillance glycémique stricte. 500mg 2-3x/j.
Diabète,Acide alpha-lipoïque,BÉNÉFIQUE,modérée,L'ALA améliore la sensibilité à l'insuline et traite la neuropathie diabétique (600-1200mg/j IV ou oral).,600mg/j pour la neuropathie. Surveillance glycémique si antidiabétique associé.
Diabète type 1,Échinacée,PRUDENCE,modérée,Immunostimulation → risque théorique d'aggravation de la destruction auto-immune des cellules β.,DÉCONSEILLÉ si diabète type 1. OK si type 2.
Cancer (pendant chimio/radiothérapie),Antioxydants haute dose,CONFLIT,haute,Les antioxydants peuvent protéger les cellules cancéreuses de la destruction par la chimio/radio.,⚠️ PAS d'antioxydants haute dose PENDANT le traitement. Autorisé entre les cycles sous supervision.
Cancer (pendant chimio),Millepertuis,CONTRE-INDIQUÉ,critique,Réduit l'efficacité de la chimiothérapie par induction enzymatique.,CONTRE-INDICATION ABSOLUE.
"Cancer hormono-dépendant (sein, utérus)","Phytoœstrogènes (soja, trèfle rouge, houblon)",CONTRE-INDIQUÉ,haute,L'activité œstrogénique peut stimuler les tumeurs hormono-dépendantes.,"CONTRE-INDIQUÉ: soja concentré, trèfle rouge, actée à grappes noires, houblon. Soja alimentaire modéré: débattu."
Cancer (entre les traitements),Chardon-marie,POTENTIELLEMENT BÉNÉFIQUE,faible,La silymarine est hépatoprotectrice → peut soutenir le foie entre les cures de chimio.,Sous supervision oncologique uniquement.
Cancer,Vitamine D,SOUVENT BÉNÉFIQUE,modérée,La carence en vitamine D est associée à un moins bon pronostic dans plusieurs cancers.,"Doser et corriger la carence. Études positives dans sein, côlon, prostate."
Cancer,Curcuma,PRUDENCE,modérée,"Le curcuma inhibe NF-κB et pourrait potentialiser certaines chimios, mais aussi interférer avec d'autres.",UNIQUEMENT sous supervision oncologique.
