id,nom,type,telephone,adresse,gouvernorat,url
31,RANIA BEN FREDJ EP. HISSAOUI,jour,+216 71 404 761,GP2 - Bretelle El M'ghira Fouchana Ben arous Tunisie,Ben Arous,https://www.med.tn/pharmacie/ben-arous/rania-ben-fredj-ep.-hissaoui-1230.html
32,LAZHAR ZOGHLAMI,jour,+216 79 467 580,"Avenue MED V, 3 Résidence Amira Bou Mhel El Bassatine Ben arous Tunisie",Ben Arous,https://www.med.tn/pharmacie/ben-arous/lazhar-zoghlami-929.html
33,SONIA MAACH,jour,+216 79 490 777,Conventionnée avec CARTE ASSURANCES,Ben Arous,https://www.med.tn/pharmacie/ben-arous/sonia-maach-8274.html
34,AMIRA BEN HAFSA,jour,+216 71 440 404,Avenue TAIEB MHIRI Rades Ben arous Tunisie,Ben Arous,https://www.med.tn/pharmacie/ben-arous/amira-ben-hafsa-8279.html
35,MARIEM KHEMIRI,jour,+216 71401834,AVENUE 7 NOVEMBRE Fouchana Ben arous Tunisie,Ben Arous,https://www.med.tn/pharmacie/ben-arous/mariem-khemiri-40946.html
36,HMIDA BOULAHIA,jour,+216 71 311 077,Rue Mohamed Zaghbani Nouvelle Medina Ben arous Tunisie,Ben Arous,https://www.med.tn/pharmacie/ben-arous/hmida-boulahia-441.html
37,AMEL MEJIDI EP BEN MOSTAFA,jour,+216 71 398 228,"6, Av DU 14 JANVIER BEN AROUS NAASSEN Naassen Ben arous Tunisie",Ben Arous,https://www.med.tn/pharmacie/ben-arous/amel-mejidi-ep-ben-mostafa-436.html
38,SALWA JAOUA,jour,,RESIDENCE LINA - Rte DE MORNAG Nouvelle Medina Ben arous Tunisie,Ben Arous,https://www.med.tn/pharmacie/ben-arous/salwa-jaoua-8276.html
39,ATEF SGHAIER,jour,+216 97 892 401,"47, Av EL HARAMAIN ECHARIFAIN BEN AROUS MOUROUJ 3 El Mourouj 3 Ben arous Tunisie",Ben Arous,https://www.med.tn/pharmacie/ben-arous/atef-sghaier-1488.html
40,MONCEF MARMECH,nuit,+216 71 394 273,Avenue Habib Bourguiba Km 12 Fouchana Ben arous Tunisie,Ben Arous,https://www.med.tn/pharmacie/ben-arous/moncef-marmech-1656.html
41,Kaies Ben Youssef,jour,+216 71 442 988,"Immeuble Bleu Center - 34 ,Avenue mohamed ali rades Rades Ben arous Tunisie",Ben Arous,https://www.med.tn/pharmacie/ben-arous/kaies-ben-youssef-1344.html
42,MOHAMED ROCHD MAKHLOUF,jour,+216 71 298 282,Centre Chalekh - Avenue 14 Janvier El Mourouj 4 Ben arous Tunisie,Ben Arous,https://www.med.tn/pharmacie/ben-arous/mohamed-rochd-makhlouf-915.html
43,TAIEB HADDADA,jour,+216 79 417 936,"26 bis, Avenue Ahmed Tlili Megrine Ben arous Tunisie",Ben Arous,https://www.med.tn/pharmacie/ben-arous/taieb-haddada-459.html
44,FERIEL RASSAA EP. HEDHILI,jour,+216 71 443 922,"68, Avenue Farhat Hached Rades Ben arous Tunisie",Ben Arous,https://www.med.tn/pharmacie/ben-arous/feriel-rassaa-ep.-hedhili-653.html
45,ALI BARAKET,jour,+216 71 381 953,AVENUE OMAR IBN EL KHATTAB Ben Arous Ben arous Tunisie,Ben Arous,https://www.med.tn/pharmacie/ben-arous/ali-baraket-38660.html
46,Rym  Boufrikha Ep Thabet,jour,+216 71 367 282,"28, Avenue des Martyrs El Mourouj 3 Ben arous Tunisie",Ben Arous,https://www.med.tn/pharmacie/ben-arous/rym--boufrikha-ep-thabet--8272.html
47,ALIA YOMNI,jour,+216 79 214 877,Avenue de l'Environnement Bou Mhel El Bassatine Ben arous Tunisie,Ben Arous,https://www.med.tn/pharmacie/ben-arous/alia-yomni-803.html
48,SONIA ESSAIDI EP. MEJRI,jour,+216 71 306 742,Conventionnée avec CARTE ASSURANCES,Ben Arous,https://www.med.tn/pharmacie/ben-arous/sonia-essaidi-ep.-mejri-1245.html
49,AMEL SLITI,jour,+216 71 472 950,Rue 20 Mars Lot 1141 El Mourouj 5 Ben arous Tunisie,Ben Arous,https://www.med.tn/pharmacie/ben-arous/amel-sliti-1060.html
50,SONIA MAACH,jour,+216 79 490 777,Conventionnée avec CARTE ASSURANCES,Ben Arous,https://www.med.tn/pharmacie/ben-arous/sonia-maach-8274.html
51,Imene Maazoun Ep Hariz,jour,+216 71 403 001,"41, Rue Jelma - Cité Elmesk Fouchana Ben arous Tunisie",Ben Arous,https://www.med.tn/pharmacie/ben-arous/imene-maazoun-ep-hariz-38829.html
52,LOTFI SAIED,jour,+216 71 400 170,"93, Avenue de l'independance Fouchana Ben arous Tunisie",Ben Arous,https://www.med.tn/pharmacie/ben-arous/lotfi-saied-1680.html
53,MONGIA AYED,jour,+216 71368380,"1, Avenue Mahdia - Centre Olfa El Mourouj 1 Ben arous Tunisie",Ben Arous,https://www.med.tn/pharmacie/ben-arous/mongia-ayed--469.html
54,NARJES LOUKIL EP. CHLAIFA,jour,+216 71 394 074,Avenue 14 Janvier Mohamadia Ben arous Tunisie,Ben Arous,https://www.med.tn/pharmacie/ben-arous/narjes-loukil-ep.-chlaifa-1207.html
55,SALOUA BOUDERBALA EP. REKIK,jour,+216 79 459 081,"3, Rue Taieb Mhiri Rades Ben arous Tunisie",Ben Arous,https://www.med.tn/pharmacie/ben-arous/saloua-bouderbala-ep.-rekik-751.html
56,RAOUDHA BAHRI,jour,+216 71 383 391,"44, Avenue Habib Bourguiba Ben Arous Ben arous Tunisie",Ben Arous,https://www.med.tn/pharmacie/ben-arous/raoudha-bahri-565.html
57,SALWA JAOUA,jour,,RESIDENCE LINA - Rte DE MORNAG Nouvelle Medina Ben arous Tunisie,Ben Arous,https://www.med.tn/pharmacie/ben-arous/salwa-jaoua-8276.html
58,RANIA BEN FREDJ EP. HISSAOUI,jour,+216 71 404 761,GP2 - Bretelle El M'ghira Fouchana Ben arous Tunisie,Ben Arous,https://www.med.tn/pharmacie/ben-arous/rania-ben-fredj-ep.-hissaoui-1230.html
59,DORRA BOUBAKER,jour,+216 71 211 850,Boulevard de l'Environnement Bou Mhel Ben arous Tunisie,Ben Arous,https://www.med.tn/pharmacie/ben-arous/dorra-boubaker-8267.html
60,ZAKIA BOUKHRIS EP. CHERNI,jour,+216 71 394 170,Rue de l'Independance Cite Ennasr Fouchana Ben arous Tunisie,Ben Arous,https://www.med.tn/pharmacie/ben-arous/zakia-boukhris-ep.-cherni-985.html
61,TAHER CHAOUCH,,+216 71 289 806,"79, avenue Hedi Chaker Tunis Belvédère Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/taher-chaouch-61.html
62,TAOUFIK BELHADJ AMMAR,jour,+216 71 253 023,"50, Rue Sidi El Bechir Bab Bhar Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/taoufik-belhadj-ammar-166.html
63,SONIA MILADI,jour,+216 70 861 837,Marché municipal - rue Sadok ben Hadj El Menzah 9 Tunis Tunisie,Tunis,https://www.med.tn/pharmacie/tunis/sonia-miladi--1022.html
64,EYA BEL KHODJA EP. LAOUITI,jour,+216 71 740 775,"1, Rue du 13 Août 1956 La Marsa Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/eya-bel-khodja-ep.-laouiti-411.html
65,NAJOUA KASTALLI,jour,+216 71 760 642,Avenue Mongi Slim - Cité Taieb M'hiri L'aouina Tunis Tunisie,Tunis,https://www.med.tn/pharmacie/tunis/najoua-kastalli-490.html
66,HASSEN  ZOUAIDI,jour,+216 71 221 413,"5 bis, Avenue Habib Bourguiba Le Bardo Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/hassen--zouaidi-104.html
67,HATEM GARRAM,jour,+216 71 507 516,"36, Avenue Habib Bougatfa Le Bardo Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/hatem-garram-1123.html
68,ESSIA BAKDACHE,jour,+216 71 934 000,"151, Rue 14 janvier 2011 Sidi Hassine Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/essia-bakdache-8255.html
69,Fatma  Zribi Mhiri,jour,+216 31585757,"Intersection avenue de Carthage, avenue de Gafsa Aîn Zaghouan Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/fatma--zribi-mhiri-40929.html
70,HABIB KHESSAIRI,jour,+216 71 782 416,11 Rue El Mahrajene Mutuelleville Tunis Tunisie,Tunis,https://www.med.tn/pharmacie/tunis/habib-khessairi-4.html
71,REJEB BEL CAID,jour,+216 71 561 360,"12, Avenue Bab Bnet Bab Bhar Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/rejeb-bel-caid-150.html
72,RACHID BEN GHACHEM,jour,+216 71 929 947,"74,rue El Faouz Bab Bhar Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/rachid-ben-ghachem-72.html
73,DALILA DARGHOUTH,jour,+216 70 736 098,Avenue Khaled Ibn El Walid Aîn Zaghouan Tunis Tunisie,Tunis,https://www.med.tn/pharmacie/tunis/dalila-darghouth-8225.html
74,MOHAMED BEN HAMADOU,jour,+216 71 883 387,"22, Rue Nelson Mondela Bab Bhar Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/-mohamed-ben-hamadou-449.html
75,ESSIA BAKDACHE,jour,+216 71 934 000,"151, Rue 14 janvier 2011 Sidi Hassine Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/essia-bakdache-8255.html
76,MOHAMED MAHDI  OUAHCHI,jour,+216 71 332 741,"42, Rue de la Sabkha Sidi El Bechir Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/mohamed-mahdi--ouahchi-1317.html
77,Molka  Masmoudi,nuit,+216 71 935 185,"Lot B. Moussa - 39, Route Fouchana Sidi Hassine Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/molka--masmoudi-1792.html
78,WAHIBA JERBI EP. JEMLI,jour,+216 71 935 652,Route de Mornaguia - Rond point Ben Dahha Sidi Hassine Tunis Tunisie,Tunis,https://www.med.tn/pharmacie/tunis/wahiba-jerbi-ep.-jemli--1257.html
79,Mahmoud Mellouli,jour,+216 71 596 822,"109, Rue 4001 Ezzouhour Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/mahmoud-mellouli-38666.html
80,HASSEN  ZOUAIDI,jour,+216 71 221 413,"5 bis, Avenue Habib Bourguiba Le Bardo Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/hassen--zouaidi-104.html
81,LEILA BEN SLAMA ZOUARI,jour,+216 71 774 754,Conventionnée avec CARTE ASSURANCES,Tunis,https://www.med.tn/pharmacie/tunis/leila-ben-slama-zouari-8439.html
82,HATEM GARRAM,jour,+216 71 507 516,"36, Avenue Habib Bougatfa Le Bardo Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/hatem-garram-1123.html
83,AYMEN RIAHI,jour,+216 71 231 313,14 Avenue El Menzah El Menzah 1 Tunis Tunisie,Tunis,https://www.med.tn/pharmacie/tunis/aymen-riahi-1437.html
84,IBTISSEM EL MOUSLI EP. MAHERZI,jour,+216 71 918 697,"64bis, Avenue de l'Environnement - Village La Marsa Gammarth Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/ibtissem-el-mousli-ep.-maherzi-491.html
85,IMEN MELLOULI EP. GORGI,jour,+216 71 511 795,"2, Avenue Habib Bourguiba Le Bardo Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/imen-mellouli-ep.-gorgi-1285.html
86,MOHAMED MONDHER ENNAIFER,jour,,"74 bis, Avenue Farhat Hached Le Kram Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/mohamed-mondher-ennaifer-690.html
87,RIM LAKHOUA,jour,+216 71 225 181,Rte DE ATTAR Km 7 TUNIS SIDI HASSINE Sidi Hassine Tunis Tunisie,Tunis,https://www.med.tn/pharmacie/tunis/rim-lakhoua-1010.html
88,SIHEM BEL KAHIA EP.CHOUKAIER,jour,+216 71 902 695,"43, Avenue du Japon - Immeuble Safsaf Montplaisir Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/sihem-bel-kahia-ep.choukaier-8252.html
89,HAIFA  BEN ABID Ep. ADHOUMA,jour,,Angle rue Taha Hassine et Rue Carthage Le Kram Tunis Tunisie,Tunis,https://www.med.tn/pharmacie/tunis/haifa--ben-abid-ep.-adhouma-38698.html
90,MOHAMED EL HEDHILI LOUATI,jour,+216,"38,rue Hedi Chaker Le Bardo Tunis Tunisie",Tunis,https://www.med.tn/pharmacie/tunis/-mohamed-el-hedhili-louati-430.html
91,WIDED ZAKHAMA,jour,+216 70 615 130,Immeuble Ibn Khaldoun N 5 Avenue Ibn Khaldoun Denden Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/wided-zakhama-1474.html
92,HAYET CHAABANE  EP JOULALI,jour,+216 71 530 505,Avenue Habib Bourguiba Tebourba Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/hayet-chaabane--ep-joulali-224.html
93,Tahar Zemzemi,jour,+216 70 560 098,"2, Avenue de la Republique Borj El Amri Mannouba Tunisie",Mannouba,https://www.med.tn/pharmacie/mannouba/tahar-zemzemi-1080.html
94,AMARA MOKHTARI,jour,+216 70 626 484,Rte DE MATEUR Km 8 Cité Khaled Ibn El Walid Douar Hicher Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/amara-mokhtari-1707.html
95,MOHAMED SADER BELKADI,jour,+216 71 621 088,Route Mateur Km 8 Cite K. Ibn El Walid Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/mohamed-sader-belkadi-549.html
96,SAMIA YAHYAOUI EP. KARABORNI,jour,+216 71 608 355,Avenue de L'Union du Maghreb Arabe - Complexe Essaida Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/samia-yahyaoui-ep.-karaborni-910.html
97,FAIEZ MAKNI,jour,+216 70 604 788,Avenue Union Maghreb Arabe Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/faiez-makni-943.html
98,SONIA DRISS CHAIEB,jour,+216 71 600 724,Avenue 2 Mars 1934- Centre médical Mannouba Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/sonia-driss-chaieb-8334.html
99,ALLALA HADDAD,jour,+216 71 609 983,"5, Rue de Liege Denden Mannouba Tunisie",Mannouba,https://www.med.tn/pharmacie/mannouba/allala-haddad-375.html
100,LES SOEURS  KHOUJA,jour,+216 70 605 858,"17, Avenue de l'independance Denden Mannouba Tunisie",Mannouba,https://www.med.tn/pharmacie/mannouba/les-soeurs--khouja-38646.html
101,RADHOUANE KHABTHANI,jour,+216 71 504 179,"5, Avenue de l'Indépendance - Khaznadar Denden Mannouba Tunisie",Mannouba,https://www.med.tn/pharmacie/mannouba/radhouane-khabthani-1215.html
102,SAIDA EL HIZAOUI,jour,+216 71 540 895,Avenue Habib Bourguiba Mornaguia Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/saida-el-hizaoui-76.html
103,Seifallah Bahri,jour,+216 29641644,85 Avenue de la Révolution-El Battan -1114 El Battan Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/seifallah-bahri--40932.html
104,ZEINEB MEZGHANI EP. EL HADDAD,jour,+216 71 622 298,"402,Avenue Khaled Ibn El Walid Douar Hicher Mannouba Tunisie",Mannouba,https://www.med.tn/pharmacie/mannouba/zeineb-mezghani-ep.-el-haddad-754.html
105,OLFA AZZOUZ,jour,+216 71 603 755,Residence les Orangers Avenue des des Orangers Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/olfa-azzouz-983.html
106,HAJER AZOUZ EP. GHORBAL,jour,+216 71 535 301,"1,Avenue de l'Environnement Oued Ellil Mannouba Tunisie",Mannouba,https://www.med.tn/pharmacie/mannouba/hajer-azouz-ep.-ghorbal-119.html
107,SONIA DRISS CHAIEB,jour,+216 71 600 724,Avenue 2 Mars 1934- Centre médical Mannouba Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/sonia-driss-chaieb-8334.html
108,GHAZI SAIHI,nuit,+216 71 541 778,"71, Avenue Habib Bourguiba Mornaguia Mannouba Tunisie",Mannouba,https://www.med.tn/pharmacie/mannouba/ghazi-saihi-1785.html
109,FERIDA ZITOUNI,jour,+216 71 629 194,Route de Chebaou Oued Ellil Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/ferida-zitouni-380.html
110,AMARA MOKHTARI,jour,+216 70 626 484,Rte DE MATEUR Km 8 Cité Khaled Ibn El Walid Douar Hicher Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/amara-mokhtari-1707.html
111,TAREK TLIBA,jour,+216 71 630 411,Avenue Environnement Route Chouigui Tebourba Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/tarek-tliba-1214.html
112,SOUMAYA JOMAA,jour,+216 70 615 049,"63, avenue Habib Bourguiba Mannouba Tunisie",Mannouba,https://www.med.tn/pharmacie/mannouba/soumaya-jomaa-38679.html
113,Henda Denguizli,jour,+216 71 622 119,rote de mateur km7 Douar Hicher Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/henda-denguizli-40951.html
114,SLIM BEN AISSA,jour,+216 71 539 133,Route de Mateur Km 17 Oued Ellil Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/slim-ben-aissa-1013.html
115,FAIEZ MAKNI,jour,+216 70 604 788,Avenue Union Maghreb Arabe Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/faiez-makni-943.html
116,SOUMAYA CHAABANE,jour,+216 71 541 691,"71, Avenue Habib Bourguiba Mornaguia Mannouba Tunisie",Mannouba,https://www.med.tn/pharmacie/mannouba/soumaya-chaabane-1465.html
117,SKANDER CHAHLOUL,nuit,+216 71 627 173,CHABBAOU Oued Ellil Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/skander-chahloul-38589.html
118,HAYET CHAABANE  EP JOULALI,jour,+216 71 530 505,Avenue Habib Bourguiba Tebourba Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/hayet-chaabane--ep-joulali-224.html
119,LES SOEURS  KHOUJA,jour,+216 70 605 858,"17, Avenue de l'independance Denden Mannouba Tunisie",Mannouba,https://www.med.tn/pharmacie/mannouba/les-soeurs--khouja-38646.html
120,MOHAMED RAOUF KAHIA,jour,+216 70 615 041,Avenue Habib Bourguiba Mannouba Tunisie,Mannouba,https://www.med.tn/pharmacie/mannouba/mohamed-raouf-kahia-286.html
121,NADIA CHALOUATI,jour,+216 78 425 222,SIDI SMAIL Beja Nord Beja Tunisie,Beja,https://www.med.tn/pharmacie/beja/nadia-chalouati-8264.html
122,KHALED CHEBBI,nuit,+216 71 468 146,Rue n 1 Cite Zaidoun Testour Beja Tunisie,Beja,https://www.med.tn/pharmacie/beja/khaled-chebbi-1693.html
123,AYMEN GHEDIRA,jour,+216 78 465 265,Avenue DE LA REPUBLIQUE Teboursouk Beja Tunisie,Beja,https://www.med.tn/pharmacie/beja/aymen-ghedira-8266.html
124,Maned  laifi,nuit,+216,Cité olfa Thibar Beja Tunisie,Beja,https://www.med.tn/pharmacie/beja/maned--laifi-40974.html
125,FIRAS NSIRI,jour,,Rue L'UNION DE MAGHREB ARAB BEJA OUED ZARGA Beja Nord Beja Tunisie,Beja,https://www.med.tn/pharmacie/beja/firas-nsiri-8263.html
126,Samia MECHERGUI,jour,+216 78 440 441,"67, Avenue Farhat Hached Beja Nord Beja Tunisie",Beja,https://www.med.tn/pharmacie/beja/samia-mechergui-905.html
127,MOUNIR KRICHEN,jour,+216 78 450 138,"16, Avenue de France Beja Sud Beja Tunisie",Beja,https://www.med.tn/pharmacie/beja/mounir-krichen-511.html
128,AROUA OUERGHI,jour,+216 78 410 111,Route de Tabarka - Ouechteta Nefza Beja Tunisie,Beja,https://www.med.tn/pharmacie/beja/aroua-ouerghi-1805.html
129,NADHEM REGAYA,nuit,+216 78 571 076,PLACE DU GOUVERNEMENT Testour Beja Tunisie,Beja,https://www.med.tn/pharmacie/beja/nadhem-regaya-8460.html
130,FARES BEN KOUSSA,jour,+216 78 442 350,Rue Kheireddine Pacha - Beb Essabaa Beja Nord Beja Tunisie,Beja,https://www.med.tn/pharmacie/beja/fares-ben-koussa-1464.html
131,SAMIA RAHOUI EP. RABAI,jour,+216 78 454 450,"34, Avenue de la République Beja Nord Beja Tunisie",Beja,https://www.med.tn/pharmacie/beja/samia-rahoui-ep.-rabai-833.html
132,MOHAMED RIDHA HERGLI,jour,,testour Testour Beja Tunisie,Beja,https://www.med.tn/pharmacie/beja/mohamed-ridha-hergli-273.html
133,KHALED CHEBBI,nuit,+216 71 468 146,Rue n 1 Cite Zaidoun Testour Beja Tunisie,Beja,https://www.med.tn/pharmacie/beja/khaled-chebbi-1693.html
134,NOUREDDINE MANKAI,jour,+216 78 451 424,Avenue Habib Bourguiba Beja Nord Beja Tunisie,Beja,https://www.med.tn/pharmacie/beja/noureddine-mankai-634.html
135,FATHI BEN LAHOUEL,jour,+216 78 469 099,Zahret mediene Avenue Habib Bourguiba Zahret Mediene Beja Tunisie,Beja,https://www.med.tn/pharmacie/beja/fathi-ben-lahouel-750.html
