guideline_id,disease_name,recommended_drug_class,line_of_treatment,decision_factors,contraindications_summary
G037,Ulcerative Colitis (Refractory),Anti-TNF or Anti-integrin or JAK Inhibitor,2nd Line,"Failure of 5-ASA and steroids",Active infection; malignancy risk
G038,Irritable Bowel Syndrome,Antispasmodics (Hyoscine),1st Line,"Pain predominant, intermittent",Glaucoma; myasthenia gravis; prostatic hyperplasia
G039,Irritable Bowel Syndrome,Laxatives (Osmotic),1st Line,"Constipation-predominant",Intestinal obstruction; fecal impaction
G040,Irritable Bowel Syndrome,Antidiarrheals (Loperamide),1st Line,"Diarrhea-predominant",Acute dysentery; pseudomembranous colitis
G041,Irritable Bowel Syndrome,Low-dose Antidepressants (TCA),2nd Line,"Moderate-severe pain, global symptoms",Cardiac conduction defects; recent MI
G042,Alcoholic Liver Disease,Corticosteroids,1st Line (severe alcoholic hepatitis),"Maddrey score >32, no infection",Active GI bleeding; renal failure; sepsis
G043,Alcoholic Liver Disease,Pentoxifylline,2nd Line,"If corticosteroids contraindicated",Recent bleeding; intolerance
G044,Non-alcoholic Fatty Liver Disease,Vitamin E,1st Line (nondiabetic NASH),"Biopsy-proven NASH, no diabetes",Bleeding risk; vitamin K antagonism
G045,Non-alcoholic Fatty Liver Disease,Pioglitazone,1st Line (diabetic NASH),"Type 2 diabetes with NASH",Heart failure; bladder cancer risk; fractures
G046,Stroke (Ischemic),Thrombolytics (tPA),Acute,"Within 4.5 hours, no contraindications",ICH history; recent surgery; severe hypertension
G047,Stroke (Ischemic),Antiplatelet Agents (Aspirin),Secondary prevention,"After 24-48 hours, all patients",Allergy; active bleeding
G048,Stroke (Ischemic),P2Y12 Inhibitors (Clopidogrel),Secondary prevention,"Aspirin allergy, recent TIA/stroke within 30 days (dual with aspirin short-term)",Active bleeding; severe liver disease
G049,Atrial Fibrillation,Direct Oral Anticoagulants (DOACs),1st Line (stroke prevention),"Non-valvular AF, CHA2DS2-VASc ≥2 in men, ≥3 in women",Mechanical heart valve; mitral stenosis; pregnancy
G050,Atrial Fibrillation,Warfarin,1st Line,"Valvular AF, mechanical valve, severe CKD, patient preference",Pregnancy; bleeding risk; inability to monitor INR
G051,Atrial Fibrillation,Rate Control (Beta-Blockers),1st Line (rate control),"All patients with AF, unless contraindicated",Asthma; bradycardia; heart block
G052,Atrial Fibrillation,Digoxin,2nd Line (rate control),"Heart failure, sedentary",Toxicity; hypokalemia; AV block
G053,Heart Failure with Reduced EF,ACE Inhibitors,1st Line,"All patients with HFrEF (LVEF ≤40%)",Angioedema; bilateral renal artery stenosis; hyperkalemia
G054,Heart Failure with Reduced EF,Beta-Blockers (Carvedilol, Metoprolol succinate),1st Line,"Stable patients, after optimization of diuretics",Decompensated heart failure; bradycardia; asthma
G055,Heart Failure with Reduced EF,Aldosterone Antagonists,1st Line,"Persistent symptoms despite ACEi/BB, LVEF ≤35%, eGFR >30",Hyperkalemia; renal failure
G056,Heart Failure with Reduced EF,SGLT2 Inhibitors,1st Line,"All HFrEF regardless of diabetes, on top of ACEi/BB/MRA",History of DKA; recurrent UTIs
G057,Heart Failure with Reduced EF,Diuretics (Loop),Symptomatic,"Volume overload, congestion",Hypotension; electrolyte imbalance; severe hyponatremia
G058,Parkinson's Disease,Levodopa/Carbidopa,1st Line,"Elderly, significant motor impairment",Narrow-angle glaucoma; melanoma history; MAOI use
G059,Parkinson's Disease,Dopamine Agonists (Pramipexole),1st Line (young onset),"Younger patients, mild symptoms",Impulse control disorders; psychosis; hypotension
G060,Parkinson's Disease,MAO-B Inhibitors (Selegiline),1st Line (adjunct),"Early, mild symptoms",Contraindicated with meperidine; SSRIs caution
G061,Parkinson's Disease,COMT Inhibitors (Entacapone),Add-on,"Motor fluctuations on levodopa",Liver disease; pheochromocytoma
G062,Alzheimer's Disease (Mild-Moderate),Acetylcholinesterase Inhibitors (Donepezil),1st Line,"Mild to moderate Alzheimer's",Bradycardia; COPD; peptic ulcer disease
G063,Alzheimer's Disease (Moderate-Severe),NMDA Receptor Antagonists (Memantine),1st Line (mod-severe) or add-on,"Moderate to severe, combination or monotherapy",Severe renal impairment; seizures
G064,Epilepsy (Generalized Tonic-Clonic),Valproate,1st Line (generalized),"Generalized epilepsy (genetic)",Pregnancy (teratogenic); liver disease; thrombocytopenia
G065,Epilepsy (Focal),Carbamazepine,1st Line (focal),"Focal onset seizures",AV block; porphyria; HLA-B1502 allele
G066,Epilepsy (Focal),Lamotrigine,1st Line (focal),"Women of childbearing potential",Stevens-Johnson risk; titration needed
G067,Epilepsy (Focal),Levetiracetam,1st Line (focal),"All ages, rapid titration",Behavioral issues; psychosis
G068,Migraine (Acute),Triptans (Sumatriptan),1st Line,"Moderate-severe migraine, no vascular risk factors",Ischemic heart disease; uncontrolled hypertension; basilar migraine
G069,Migraine (Acute),NSAIDs,1st Line,"Mild-moderate, no contraindications",Peptic ulcer; bleeding risk; renal impairment
G070,Migraine (Prophylaxis),Beta-Blockers (Propranolol),1st Line,"Frequent migraine, hypertension, no asthma",Asthma; bradycardia; depression
G071,Migraine (Prophylaxis),Antiepileptics (Topiramate),1st Line,"Episodic migraine, need weight loss",Nephrolithiasis; glaucoma; cognitive dysfunction
G072,Migraine (Prophylaxis),CGRP Monoclonal Antibodies,2nd Line,"Chronic migraine, failed 2-3 preventives",Hypersensitivity; cost
G073,Rheumatoid Arthritis,DMARDs (Methotrexate),1st Line,"All patients with active RA",Severe renal impairment; liver disease; pregnancy; blood dyscrasias
G074,Rheumatoid Arthritis,DMARDs (Leflunomide),2nd Line,"Alternative to MTX, combination",Liver disease; pregnancy (long half-life)
G075,Rheumatoid Arthritis,Biologic DMARDs (Anti-TNF),2nd Line,"Inadequate response to MTX, moderate-high disease activity",Active infection; heart failure (NYHA III/IV); demyelinating disease
G076,Rheumatoid Arthritis,JAK Inhibitors,2nd Line,"Inadequate response to MTX/biologics, oral preferred",Thrombosis risk; active infection; elderly caution
G077,Osteoarthritis (Knee),NSAIDs (Topical),1st Line,"Mild-moderate pain, elderly",Skin sensitivity; allergy
G078,Osteoarthritis (Knee),NSAIDs (Oral),1st Line,"Moderate-severe pain, no GI/CV risk",Peptic ulcer; renal impairment; heart failure
G079,Osteoarthritis (Knee),Acetaminophen,1st Line,"Mild pain, contraindication to NSAIDs",Liver disease; alcoholism
G080,Osteoarthritis (Knee),Corticosteroid Injections,2nd Line,"Flare, localized pain, effusion",Joint infection; fracture; bleeding disorder
G081,Chronic Kidney Disease (Stage 3-4),ACE Inhibitors/ARBs,1st Line,"Hypertension, proteinuria",Hyperkalemia; bilateral renal artery stenosis
G082,Chronic Kidney Disease (Stage 3-4),SGLT2 Inhibitors,1st Line,"Diabetic or non-diabetic CKD with proteinuria",History of DKA; recurrent UTIs
G083,Chronic Kidney Disease (Anemia),Erythropoiesis-Stimulating Agents,2nd Line,"Hb <10, iron replete",Uncontrolled hypertension; pure red cell aplasia
G084,Chronic Kidney Disease (Mineral Bone Disorder),Phosphate Binders,1st Line,"Hyperphosphatemia (serum P >4.5)",Hypophosphatemia; bowel obstruction
G085,Chronic Kidney Disease (Secondary Hyperparathyroidism),Vitamin D Analogs,1st Line,"Low 1,25(OH)2D, elevated PTH",Hypercalcemia; hyperphosphatemia
G086,Acute Myocardial Infarction,Antiplatelet Agents (Aspirin),Acute,"All patients at presentation",Allergy; active bleeding
G087,Acute Myocardial Infarction,P2Y12 Inhibitors,Acute,"All patients (dual antiplatelet)",Bleeding risk; need for surgery
G088,Acute Myocardial Infarction,Thrombolytics,Acute,"If PCI not available within 120 min",Bleeding risk; recent stroke; trauma
G089,Acute Myocardial Infarction,Beta-Blockers,Acute (early),"Hemodynamically stable, no contraindications",Cardiogenic shock; bradycardia; heart block
G090,Acute Myocardial Infarction,Statins,Secondary prevention,"All patients post-MI, high-intensity",Active liver disease; pregnancy
G091,Community-acquired Pneumonia,Antibiotics (Macrolides),1st Line (outpatient, low risk),"Previously healthy, no comorbidities",QT prolongation; drug interactions
G092,Community-acquired Pneumonia,Antibiotics (Doxycycline),1st Line (outpatient, low risk),"Alternative to macrolides",Pregnancy; children <8
G093,Community-acquired Pneumonia,Antibiotics (Respiratory Fluoroquinolones),1st Line (outpatient, comorbidities),"COPD, diabetes, recent antibiotics",Tendonitis; QT prolongation; CNS effects
G094,Community-acquired Pneumonia,Antibiotics (Beta-lactam + Macrolide),1st Line (inpatient, non-ICU),"Admitted, moderate severity",Beta-lactam allergy
G095,Community-acquired Pneumonia,Antibiotics (Beta-lactam + Respiratory Fluoroquinolone),1st Line (ICU),"Severe CAP, ICU admission",As above
G096,Tuberculosis (Pulmonary),Isoniazid + Rifampin + Pyrazinamide + Ethambutol,1st Line (intensive phase),"New TB case, drug-sensitive",Liver disease; optic neuritis (ethambutol); pregnancy caution
G097,Tuberculosis (Pulmonary),Isoniazid + Rifampin,1st Line (continuation phase),"After 2 months intensive, if sensitive",Liver disease; peripheral neuropathy (give B6)
G098,Tuberculosis (MDR),Bedaquiline + Linezolid + Others,2nd Line,"Resistance to first-line",QT prolongation; myelosuppression; drug interactions
G099,HIV/AIDS,ARVs (Integrase Inhibitor + 2 NRTIs),1st Line,"All treatment-naive patients",Drug interactions; renal function (TDF caution)
G100,HIV/AIDS,ARVs (NNRTI-based),2nd Line,"Failure on first-line, or switch for simplification",Resistance; drug interactions; CNS effects
G101,HIV/AIDS,ARVs (Protease Inhibitor-based),3rd Line,"Failure of second-line",Metabolic syndrome; drug interactions; adherence issues
G102,Asthma (Step 1),Inhaled Short-acting Beta Agonists (SABA),As needed,"Intermittent asthma, symptoms ≤2/week",Tachycardia; hypokalemia
G103,Asthma (Step 2),Inhaled Corticosteroids (Low dose),Maintenance,"Mild persistent asthma",Local side effects (hoarseness, thrush); need spacer
G104,Asthma (Step 3),Inhaled Corticosteroids (Low dose) + LABA,Maintenance,"Moderate persistent, not controlled on low ICS",LABA contraindicated without ICS (monotherapy not recommended)
G105,Asthma (Step 4),Inhaled Corticosteroids (Medium dose) + LABA,Maintenance,"Not controlled on step 3",As above
G106,Asthma (Step 5),Inhaled Corticosteroids (High dose) + LABA + consider add-ons (tiotropium, anti-IgE),Maintenance,"Severe persistent, frequent exacerbations",Need specialist evaluation; assess adherence
G107,COPD (Group A),Inhaled Short-acting Bronchodilators (SABA or SAMA),As needed,"Mild symptoms, low risk",Cardiac arrhythmias (caution)
G108,COPD (Group B),Inhaled Long-acting Bronchodilators (LABA or LAMA),Maintenance,"More symptoms, low risk",As above; consider LAMA if predominant dyspnea
G109,COPD (Group E),Inhaled LABA + LAMA,Maintenance,"High exacerbation risk",Combination caution in cardiac disease
G110,COPD (Group E with asthma features/eosinophilia),Inhaled ICS + LABA + LAMA,Maintenance,"High exacerbation despite LABA/LAMA, or eosinophilia >300",Pneumonia risk with ICS
G111,Depression (Moderate),Antidepressants (SSRIs),1st Line,"All patients, first episode",Bipolar disorder; recent MAOI use; pregnancy caution
G112,Depression (Moderate),Antidepressants (SNRIs),1st Line,"Need for efficacy, comorbid anxiety",Uncontrolled hypertension; narrow-angle glaucoma
G113,Depression (Treatment-resistant),Antidepressants (TCAs),2nd Line,"Failure of SSRIs/SNRIs",Cardiac conduction defects; suicide risk; overdose risk
G114,Depression (with psychosis),Antipsychotics (Atypical) + Antidepressants,1st Line,"Psychotic features",Metabolic syndrome; EPS; tardive dyskinesia
G115,Bipolar I Disorder (Mania),Mood Stabilizers (Lithium) or Valproate or Atypical Antipsychotics,1st Line,"Acute mania",Lithium: renal/thyroid impairment; valproate: liver disease; pregnancy
G116,Bipolar I Disorder (Maintenance),Lithium,1st Line,"Classic bipolar, reduces suicide risk",Renal impairment; hypothyroidism; dehydration
G117,Bipolar I Disorder (Maintenance),Lamotrigine,1st Line,"Maintenance in bipolar I, especially for depression",Rash; slow titration
G118,Schizophrenia (Acute),Antipsychotics (Atypical),1st Line,"First-episode or relapse",Weight gain; metabolic monitoring
G119,Schizophrenia (Maintenance),Antipsychotics (Long-acting injectable),1st Line (if adherence issues),"Frequent relapses, poor adherence",Extrapyramidal symptoms; injection site reactions
G120,Schizophrenia (Treatment-resistant),Clozapine,2nd Line,"Failure of two adequate antipsychotic trials",Agranulocytosis; myocarditis; seizures; weight gain
G121,Insomnia (Chronic),Cognitive Behavioral Therapy,1st Line,"All patients",None
G122,Insomnia (Chronic),Hypnotics (Z-drugs),2nd Line,"Short-term, when CBT ineffective or unavailable",Substance abuse; sleep apnea; respiratory depression
G123,Insomnia (Chronic),Ramelteon,2nd Line,"Sleep-onset insomnia, no abuse potential",Concomitant fluvoxamine; severe liver impairment
G124,Glaucoma (Open-angle),Prostaglandin Analogs (Latanoprost),1st Line,"First-line, once daily",Macular edema; uveitis; contact lens wearers
G125,Glaucoma (Open-angle),Beta-blockers (Timolol),2nd Line,"Alternative or add-on",Asthma; bradycardia; heart block
G126,Glaucoma (Open-angle),Alpha-2 Agonists (Brimonidine),2nd Line,"Add-on or when others contraindicated",Fatigue; hypotension; allergy
G127,Wet Age-related Macular Degeneration,Anti-VEGF (Ranibizumab),1st Line,"Active CNV, intravitreal injection",Ocular/periocular infection; recent intraocular surgery
G128,Wet Age-related Macular Degeneration,Anti-VEGF (Aflibercept),1st Line,"Active CNV, alternative dosing",As above
G129,Diabetic Macular Edema,Anti-VEGF,1st Line,"Center-involving DME, vision loss",As above
G130,Benign Prostatic Hyperplasia,Alpha-blockers (Tamsulosin),1st Line,"Moderate symptoms",Retrograde ejaculation; dizziness; hypotension
G131,Benign Prostatic Hyperplasia,5-alpha Reductase Inhibitors (Finasteride),1st Line (if large prostate),"Large prostate (>40g), long-term",Sexual dysfunction; gynecomastia; depression
G132,Benign Prostatic Hyperplasia,Combination (Alpha-blocker + 5-ARI),1st Line (if large prostate and symptoms),"Larger prostate, high risk of progression",As above
G133,Erectile Dysfunction (Vasculogenic),PDE5 Inhibitors (Sildenafil),1st Line,"No contraindications",Nitrate use; severe hypotension; recent stroke/MI
G134,Erectile Dysfunction (Psychogenic),PDE5 Inhibitors,1st Line,"As above",As above
G135,Erectile Dysfunction (Post-prostatectomy),PDE5 Inhibitors (Tadalafil daily),1st Line,"Penile rehab after nerve-sparing surgery",As above
G136,Overactive Bladder,Anticholinergics (Oxybutynin),1st Line,"Symptoms, no contraindications",Narrow-angle glaucoma; gastric retention; cognitive impairment
G137,Overactive Bladder,Beta-3 Agonists (Mirabegron),2nd Line,"Intolerance to anticholinergics",Severe uncontrolled hypertension; bladder outlet obstruction
G138,Prostate Cancer (Metastatic, Hormone-sensitive),ADT + Docetaxel or Abiraterone,1st Line,"High-volume disease",Bone marrow suppression; neuropathy; cardiac (abiraterone)
G139,Prostate Cancer (Metastatic, Castration-resistant),Enzalutamide or Abiraterone,1st Line,"Asymptomatic/minimally symptomatic",Seizure risk (enzalutamide); hypertension; fatigue
G140,Prostate Cancer (Metastatic, Castration-resistant),Chemotherapy (Cabazitaxel),2nd Line,"Post-docetaxel",Neutropenia; neuropathy
G141,Breast Cancer (Early, HR+),Endocrine Therapy (Tamoxifen or AI),Adjuvant,"Post-surgery, hormone receptor-positive",Thrombosis (tamoxifen); osteoporosis (AI); endometrial cancer (tamoxifen)
G142,Breast Cancer (HER2+),Trastuzumab + Chemotherapy,Adjuvant/Neoadjuvant,"HER2 overexpression",Cardiomyopathy; infusion reactions
G143,Breast Cancer (Metastatic, HR+),CDK4/6 Inhibitors + Endocrine Therapy,1st Line,"Hormone receptor-positive, HER2-negative",Neutropenia; QT prolongation; fatigue
G144,Breast Cancer (Metastatic, Triple-Negative),Chemotherapy (e.g., Taxanes),1st Line,"PD-L1 negative",Myelosuppression; neuropathy
G145,Breast Cancer (Metastatic, Triple-Negative, PD-L1+),Immune Checkpoint Inhibitor + Chemotherapy,1st Line,"PD-L1 positive",Immune-related adverse events
G146,Lung Cancer (NSCLC, Metastatic, EGFR mutant),EGFR Tyrosine Kinase Inhibitors (Osimertinib),1st Line,"EGFR mutation (exon 19 del, L858R)",Interstitial lung disease; QT prolongation; hepatotoxicity
G147,Lung Cancer (NSCLC, Metastatic, ALK-positive),ALK Inhibitors (Alectinib),1st Line,"ALK rearrangement",Hepatotoxicity; bradycardia; myalgia
G148,Lung Cancer (NSCLC, Metastatic, PD-L1 ≥50%),Immune Checkpoint Inhibitor (Pembrolizumab),1st Line,"PD-L1 high expression, no driver mutation",Immune-related adverse events
G149,Lung Cancer (NSCLC, Metastatic, no driver),Chemotherapy (Platinum doublet),1st Line,"PD-L1 <50%, good PS",Nephrotoxicity; neuropathy; myelosuppression
G150,Colorectal Cancer (Metastatic),Chemotherapy (FOLFOX or FOLFIRI) + Targeted therapy (if RAS wild-type),1st Line,"Unresectable metastatic",Neuropathy (oxaliplatin); diarrhea (irinotecan); neutropenia
G151,Colorectal Cancer (Metastatic, RAS wild-type),Anti-EGFR (Cetuximab) + Chemotherapy,1st Line,"Left-sided tumors, RAS wild-type",Rash; infusion reactions; hypomagnesemia
G152,Colorectal Cancer (Metastatic, BRAF mutant),BRAF Inhibitor + EGFR Inhibitor + Chemotherapy,2nd Line,"BRAF V600E mutation",Fatigue; nausea; hepatotoxicity
G153,Gout (Acute),NSAIDs (Indomethacin),1st Line,"Acute attack, no contraindications",Peptic ulcer; renal impairment; bleeding
G154,Gout (Acute),Colchicine,1st Line (if early),"Within 24 hours of onset",Renal/hepatic impairment; drug interactions (CYP3A4)
G155,Gout (Acute),Corticosteroids (Oral/IA),2nd Line,"Contraindications to NSAIDs/colchicine",Infection; diabetes; osteoporosis
G156,Gout (Chronic),Xanthine Oxidase Inhibitors (Allopurinol),1st Line (urate-lowering),"Recurrent attacks, tophi, CKD",Allopurinol hypersensitivity syndrome (HLA-B5801); renal impairment
G157,Gout (Chronic),Xanthine Oxidase Inhibitors (Febuxostat),2nd Line,"Intolerance to allopurinol",Cardiovascular risk (boxed warning); liver enzyme elevation
G158,Rheumatoid Arthritis (Early),Methotrexate,1st Line,"All patients with active RA",As above
G159,Rheumatoid Arthritis (Refractory),Rituximab,2nd Line,"Failure of anti-TNF, seropositive",Infusion reactions; HBV reactivation; PML
G160,Rheumatoid Arthritis (Refractory),Tocilizumab (Anti-IL6),2nd Line,"Failure of anti-TNF",Bowel perforation; hepatotoxicity; neutropenia
G161,Psoriasis (Plaque, Mild-Moderate),Topical Corticosteroids,1st Line,"Limited disease",Skin atrophy; tachyphylaxis
G162,Psoriasis (Plaque, Mild-Moderate),Vitamin D Analogs (Calcipotriene),1st Line,"Alternative or combination",Irritation; hypercalcemia (if excessive)
G163,Psoriasis (Moderate-Severe),Biologics (Anti-TNF, Anti-IL17, Anti-IL23),1st Line (if candidate),"Extensive disease, failure of topical/systemic",Infection risk; need for TB screening
G164,Psoriasis (Moderate-Severe),Methotrexate,1st Line (if biologics not available),"Moderate-severe, no liver disease",Hepatotoxicity; myelosuppression
G165,Atopic Dermatitis (Mild),Topical Corticosteroids (mild),1st Line,"Localized flares",Skin atrophy; rebound
G166,Atopic Dermatitis (Moderate),Topical Corticosteroids (moderate) + Moisturizers,1st Line,"Widespread",As above
G167,Atopic Dermatitis (Severe),Systemic Immunosuppressants (Cyclosporine) or Biologics (Dupilumab),2nd Line,"Refractory severe disease",Renal impairment; hypertension; infection
G168,Hepatitis C (Chronic),Direct-acting Antivirals (pangenotypic),1st Line,"All patients with chronic HCV, no cirrhosis or compensated cirrhosis",Drug interactions; pregnancy
G169,Hepatitis B (Chronic),Entecavir or Tenofovir,1st Line,"Active disease (elevated ALT, HBV DNA >2000), cirrhosis",Renal toxicity (tenofovir); lactic acidosis
G170,Hepatitis B (Chronic),Peginterferon,2nd Line,"Young, want finite duration, no contraindications",Cytopenias; depression; flu-like symptoms
G171,Chronic Lymphocytic Leukemia (Treatment-naive),Ibrutinib (BTK inhibitor) or Venetoclax + Obinutuzumab,1st Line,"All patients, regardless of del17p",Bleeding; atrial fibrillation; tumor lysis (venetoclax)
G172,Chronic Lymphocytic Leukemia (Relapsed),Venetoclax + Rituximab or Ibrutinib,2nd Line,"Prior chemoimmunotherapy",As above
G173,Multiple Myeloma (Transplant-eligible),Induction (Bortezomib + Lenalidomide + Dexamethasone) then ASCT,1st Line,"Age ≤70, fit",Neuropathy (bortezomib); thrombosis (lenalidomide); cytopenias
G174,Multiple Myeloma (Non-transplant),Lenalidomide + Dexamethasone (Rd),1st Line,"Age >70 or unfit",As above
G175,Multiple Myeloma (Relapsed/Refractory),Carfilzomib + Lenalidomide + Dexamethasone or Daratumumab-based,2nd Line,"Prior exposure",Cardiac toxicity (carfilzomib); infusion reactions
G176,Non-Hodgkin Lymphoma (DLBCL),R-CHOP (Rituximab + Cyclophosphamide + Doxorubicin + Vincristine + Prednisone),1st Line,"All patients, fit",Cardiomyopathy (doxorubicin); neuropathy; neutropenia
G177,Non-Hodgkin Lymphoma (Follicular),Rituximab monotherapy or R-CHOP,1st Line,"Low burden: watchful wait; high burden: treat",Infusion reactions; infection risk
G178,Hodgkin Lymphoma (Early stage),ABVD (Doxorubicin + Bleomycin + Vinblastine + Dacarbazine) +/- radiotherapy,1st Line,"Favorable early stage",Pulmonary toxicity (bleomycin); cardiomyopathy; infertility
G179,Hodgkin Lymphoma (Advanced),ABVD or escalated BEACOPP,1st Line,"Advanced stage",As above; secondary cancers
G180,Melanoma (Metastatic),Immune Checkpoint Inhibitors (Anti-PD1 +/- Anti-CTLA4),1st Line,"BRAF wild-type or mutant, good PS",Immune-related adverse events; severe if combination
G181,Melanoma (Metastatic, BRAF mutant),BRAF + MEK Inhibitors,1st Line,"Alternative to IO, need rapid response",Cutaneous squamous; photosensitivity; pyrexia
G182,Renal Cell Carcinoma (Clear cell, Metastatic),Immune Checkpoint Inhibitor combinations (Pembrolizumab + Axitinib) or Ipilimumab + Nivolumab,1st Line,"All risk groups",Hepatotoxicity; fatigue; immune events
G183,Renal Cell Carcinoma (Metastatic),VEGF TKI (Sunitinib),1st Line (if IO not available),"Favorable risk",Hand-foot syndrome; hypertension; fatigue
G184,Pancreatic Cancer (Metastatic),FOLFIRINOX or Gemcitabine + Nab-paclitaxel,1st Line,"Good performance status",Myelosuppression; neuropathy; fatigue
G185,Pancreatic Cancer (Metastatic),Gemcitabine monotherapy,1st Line (if poor PS),"Poor performance status",Myelosuppression; flu-like symptoms
G186,Ovarian Cancer (Advanced),Carboplatin + Paclitaxel +/- Bevacizumab,1st Line,"Stage III-IV",Neuropathy; myelosuppression; hypertension
G187,Ovarian Cancer (Recurrent, Platinum-sensitive),Carboplatin-based doublet +/- Bevacizumab,2nd Line,"Relapse >6 months after platinum",As above
G188,Ovarian Cancer (Recurrent, Platinum-resistant),Single-agent chemotherapy (Pegylated liposomal doxorubicin, Topotecan, etc.),2nd Line,"Relapse <6 months",Hand-foot syndrome; myelosuppression
