Product,Description,Conseils,Categories,Link
KELA ZINC FORT,"Les bienfaits : KELA ZINC FORT est une combinaison de Zinc, Vitamine C, Vitamine D3 et Sélénium dans un seul produit. Ce complément aide à renforcer le système immunitaire, à prévenir les problèmes articulaires et à améliorer les performances physiques. Zinc Fort est un complément spécialement formulé qui apporte les avantages nutritionnels du zinc, de la vitamine C, vitamine D3 et du sélénium. KELA ZINC FORT est particulièrement recommandé en cas d’échec de la supplémentation, en cas de carence ou pour contribuer au maintien de la santé de la peau et des muqueuses, des ongles, des cheveux et de la structure osseuse, ainsi qu’au bon fonctionnement des cellules du système immunitaire acquis et inné.",,"Compléments alimentaires, Immunité",https://xenlaboratoires.com/product/kela-zinc-fort/
KELA PLEX FORT,"Les bienfaits : KELA PLEX FORT est un complément alimentaire contenant du bisglycinate de magnésium, de l’uridine monophosphate, de la vitamine B1, de la vitamine B6, de la vitamine B9 et de la vitamine B12. Ce produit est spécifiquement indiqué pour le soulagement des douleurs musculaires au niveau du dos, du cou, des lombaires et d’autres circonstances spécifiques (entraînement fréquent et exercice physique intense).",,"Compléments alimentaires, Orthopédie",https://xenlaboratoires.com/product/kela-plex-fort/
Lumi R écran teinté,"Les bienfaits : L’écran teinté Lumi-R 50+ est un produit de protection solaire à large spectre qui offre une haute protection contre les rayons UV. Il est spécialement formulé pour les peaux sujettes à l’hyperpigmentation, ainsi que pour les peaux traitées par laser ou peeling. Ce produit est conçu pour aider à prévenir la formation de taches brunes et de mélanome grâce à son système filtrant UVA/UVB à large spectre et photostable, qui assure une protection efficace contre les rayons UV qui peuvent causer des dommages à la peau. De plus, sa formule contenant du BACOCALMINE antioxydant réduit la mélanine déjà oxydée en l’éclaircissant, tandis que le VENUCEANE activé par la lumière et la chaleur limite la stimulation du mélanocyte et protège contre les dommages des UV.",,"Cosmétologie médicale, Peaux grasses, Protection solaire",https://xenlaboratoires.com/product/lumi-r-ecran-teinte/
VEINOR 1000,"Les bienfaits : Le complément alimentaire VEINOR 1000 est une combinaison d’ingrédients qui procurent à l’organisme de puissants effets anti-inflammatoires et antispasmodiques dans le but de faciliter la circulation veineuse. Ce produit est une combinaison de 5 ingrédients actifs issus de plantes connues pour leurs bienfaits sur la circulation et la santé veineuse. En combinant les 5 principes actifs de chaque plante, la circulation sanguine et la santé veineuse seront maintenues et leur développement sera optimal. En outre, ce complément alimentaire contient des hétérosides, dont il a été démontré qu’ils ont un effet anti-inflammatoire sur le corps. Également de la vitamine C et de l’arginine, qui peuvent contribuer à améliorer la circulation sanguine.",,"Compléments alimentaires, Crise hémorroïdaire",https://xenlaboratoires.com/product/veinor-1000/
Masque Kératin Q10,"Les bienfaits : Le Masque Kératin Q10 est un soin de qualité supérieure, spécialement conçu pour nourrir, réparer et améliorer l’effet lissant des cheveux. Il facilite également le démêlage des cheveux secs, abîmés, cassants, difficiles à coiffer et exposés à de multiples agressions telles que le brushing, les lavages, la coloration et les séchages. La formule de ce masque est élaborée à partir d’un mélange de plusieurs ingrédients bio-actifs tels que la kératine végétale, le beurre de karité, l’huile de pépins de raisin, l’huile de macadamia et le coenzyme Q10. Ces ingrédients agissent en synergie pour offrir des résultats exceptionnels. Les résultats de l’utilisation du Masque Kératin Q10 sont nombreux et remarquables. Il rend les fibres capillaires lisses et souples, tout en nourrissant, réparant et renforçant les cheveux. Il protège également la chevelure des agressions extérieures, la rendant ainsi plus dense, sublimée et brillante.",,"Cheveux sec abîmés, Cosmétologie médicale",https://xenlaboratoires.com/product/masque-keratin-q10/
VEINOR Crème,"Les bienfaits : VEINOR CRÈME contient des extraits de plantes, des vitamines et des minéraux qui sont censés aider à améliorer la circulation sanguine et à réduire les symptômes des problèmes veineux tels que les varices, les jambes lourdes, les hématomes et les pieds gonflés. Les ingrédients actifs de la crème Veinor comprennent notamment de l’extrait de marron d’Inde, de l’extrait de vigne rouge, de l’hamamélis, du menthol et de la vitamine E. Sa texture en crème ne colle pas, permettant d’être utilisé avec des bas ou collants de contention.",,"Cardiovasculaire, Compléments alimentaires",https://xenlaboratoires.com/product/veinor-creme/
Lumi-R dépigmentant,"Les bienfaits : Si vous cherchez un moyen de vous débarrasser des taches brunes et des imperfections cutanés, Lumi-R Dépigmentant est la solution idéale pour vous. Ce produit est une combinaison exclusive de trois principes actifs complémentaires : Wonderlight associé au Melsahow, Vit C photostable, agissent au cœur de la cellule sur l’enzyme clé de la synthèse de la mélanine, et au niveau extra cellulaire en induisant l’apoptose du mélanocyte et en limitant la propagation de la mélanine dans l’épiderme. Aussi, le Leratoline à action kératolytique, facilite l’élimination du pigment épidermique et optimise la pénétration de Wonderlight et de la Vit C dans la peau. Ainsi, Lumi-R Dépigmentant agit à la fois au niveau intra et extra cellulaire, pour une efficacité renforcée contre les taches brunes liées au photo vieillissement (lentigos), aux variations hormonales (masque de grossesse) ou réactionnelles (photosensibilisation par les médicaments, cicatrices).",,"Cosmétologie médicale, Hyperpigmentation",https://xenlaboratoires.com/product/lumi-r-depigmentant/
Huile sèche pailletée,"Les bienfaits : HUILE SÈCHE PAILLETÉE, est un produit hydratant et nourrissant qui peut être utilisé sur le corps, les cheveux et le visage. Elle contient de l’huile de macadamia, qui est connue pour ses propriétés curatives. Le produit a une texture légère qui glisse facilement sur la peau et les cheveux. Il donne également à votre corps et à vos cheveux un fini scintillant pendant l’exposition au soleil ainsi qu’après le soleil pour réparer l’épiderme et rehausser la peau d’un voile irisé.",,"Cosmétologie médicale, Protection solaire",https://xenlaboratoires.com/product/huile-seche-pailletee/
CB3 ÉCRAN SOLAIRE PEAUX MIXTES-GRASSES,"Les bienfaits : Le CB3 Defense peau mixte + grasse est un écran solaire riche en vitamines et antioxydants conçu pour la prise en charge du photo vieillissement et les dommages causés par la pollution. En plus de protéger contre les rayons nocifs du soleil, cet écran solaire hydrate intensément la peau et rééquilibre le teint irrégulier tout en luttant contre l’hyperpigmentation. Voici les trois principaux avantages que le CB3 Defense écran solaire peaux mixte+grasse  offre pour votre peau : Protection solaire avancée Le CB3 Defense Écran est une protection solaire à large spectre qui protège la peau contre les rayons UVA et UVB. Sa formulation à base de vitamines C, B3, E, F et de Coenzyme Q10 ralentit l’oxydation des cellules, réduit les signes de vieillissement prématuré et régénère la peau pour une apparence plus saine et plus jeune. Hydratation intense Le CB3 Defense Écran offre une hydratation intense et une protection solaire contre les rayons nocifs du soleil. Sa formule légère et non grasse pénètre rapidement dans la peau pour une hydratation instantanée, sans résidu gras. Cet écran solaire peau mixte et grasse nourrit et protège votre peau pour une apparence saine et rayonnante. Formule Hypoallergénique, Non Comédogène et Adaptée aux Peaux Sensibles Le CB3 Defense Écran solaire convient aux peaux sensibles grâce à sa formule hypoallergénique et non comédogène. Résistant à l’eau et à la transpiration, il offre une protection longue tenue pour les activités en extérieur et est également idéal comme base de maquillage pour une application facile et uniforme.",,"Cosmétologie médicale, Protection solaire",https://xenlaboratoires.com/product/cb3-ecran-solaire-peaux-mixtes-grasses/
Kératin Q10 huileuse – Lotion,"Les bienfaits : La lotion réparatrice pour longueurs et pointes Kératin Q10 est un produit de soin capillaire spécialement formulé pour nourrir et réparer les cheveux matures, abîmés ou fragilisés par des traitements dermatologiques asséchants. Cette lotion contient des actifs innovants tels que la coenzyme Q10, la kératine végétale et la kératine Q10 qui stimulent la racine des cheveux pour activer la production de deux types de kératine qui diminuent avec le temps. Cette lotion pour cheveux répare les longueurs et les pointes abîmées tout en lissant la fibre capillaire et en prévenant les frisottis. Elle améliore également le volume, la brillance et la tenue capillaire pour des cheveux en meilleure santé et plus beaux.",,"Cheveux sec abîmés, Cosmétologie médicale",https://xenlaboratoires.com/product/keratin-q10-huileuse-lotion/
CICA XEN,"Crème cicatrisante sans parfum, à l’acide hyaluronique et actifs anti-inflammatoires .",,Cosmétologie médicale,https://xenlaboratoires.com/product/cica-xen/
CB3 Mousse micellaire homme,"Les bienfaits : CB3 DEFENSE Mousse Micellaire pour homme est un produit de nettoyage de la peau qui offre une expérience de nettoyage rafraîchissante et onctueuse. La mousse nettoyante CB3 DEFENSE est conçue pour offrir un jeu de textures étonnant. Elle combine la légèreté d’une mousse nettoyante, l’onctuosité d’une crème et la fraîcheur de l’eau pour donner à la peau une expérience de nettoyage unique. La formule sans savon permet un nettoyage en douceur sans agresser la peau. En plus de nettoyer en profondeur, cette mousse nettoyante pour homme contient des actifs émollients, kératoréducteurs et anti-inflammatoires qui préparent la peau au rasage et facilitent la sortie des poils incarnés. La formule est enrichie en niacinamide, vitamine C stabilisée, coenzyme Q10, céramide et extrait d’Aloe Vera pour nourrir la peau en profondeur.",,"Cosmétologie médicale, Peaux séches",https://xenlaboratoires.com/product/cb3-mousse-micellaire-homme/
Kela Fer Sirop Lipo,"Les bienfaits : Kela Fer Sirop Lipo est un complément alimentaire à base de fer liposomale qui a été microencapsulé pour améliorer son absorption, limiter les effets indésirables (maux de ventre, constipation…). Il est recommandé pour les enfants, les adolescents et les adultes. Les personnes ayants une carence en fer",,"Compléments alimentaires, Pédiatrie",https://xenlaboratoires.com/product/kela-fer-sirop-lipo/
CB3 Mousse micellaire-peau mixtes à grasse,"Les bienfaits : Découvrez la Mousse Micellaire Nettoyante CB3 Défense, la solution parfaite pour nettoyer votre peau en douceur, tout en prenant soin de sa santé et de son éclat. Le secret de cette mousse micellaire réside dans son jeu de textures étonnant, combinant la légèreté d’une mousse nettoyante, l’onctuosité d’une crème et la fraîcheur de l’eau. Sa texture mousse onctueuse laisse la peau parfaitement nette, fraîche et douce. La Mousse Micellaire Nettoyante CB3 Défense est composée d’ingrédients soigneusement sélectionnés pour prendre soin de votre peau, tels que l’eau, le magnésium laureth sulfate, le disodium laureth sulfosuccinate, le cocoamphoacetate, le sucrose cocoate, le coco-glucoside, l’EDTA, la niacinamide, la vitamine C stabilisée, le coenzyme Q10, le céramide, le chlorure de sodium, l’extrait d’aloe vera, la MIT/CMIT et le parfum. La vitamine C stabilisée et le coenzyme Q10 sont des antioxydants puissants qui aident à protéger votre peau contre les dommages des radicaux libres, tandis que l’extrait d’aloe vera et le céramide hydratent et apaisent votre peau. La niacinamide aide à réduire l’apparence des pores, tandis que la MIT/CMIT aide à préserver la fraîcheur de la mousse.",,"Cosmétologie médicale, Peaux grasses",https://xenlaboratoires.com/product/cb3-mousse-micellaire-peau-mixtes-a-grasse/
HYDRA 24 Rich Cream,"Les bienfaits : HYDRA 24, Crème riche est une crème hydratante intensément nourrissante pour les peaux sensibles, sèches ou très sèches. Elle est formulée avec un mélange puissant d’agents hydratants, de filtres solaires et d’un complexe multivitaminé pour protéger la peau des agressions extérieures et des effets néfastes des rayons UV. Les ingrédients clés incluent LIPEXEL, qui aide à restaurer le film lipidique naturel de la peau pour ralentir l’évaporation de l’eau. UREE PURE possède des propriétés hydratantes intenses et facilite le renouvellement des cellules de la peau. MOIST 24 hydrate la peau tout au long de la journée, tandis que HYDRAPROTECTOL assure une hydratation immédiate des couches superficielles et en profondeur en renforçant la barrière cutanée. PACIFEEL aide à hydrater la peau et à soulager les sensations d’inconfort telles que les démangeaisons et les picotements. Enfin, le complexe multivitaminé (vitamines A, E, F et provitamine B5) hydrate la peau, possède des propriétés anti-inflammatoires et apaisantes, accélère la cicatrisation, ralentit le vieillissement cutané et protège la peau des dommages des UV.",,"Cosmétologie médicale, Hydratation",https://xenlaboratoires.com/product/hydra-24-rich-cream/
EstiCica,"Les bienfaits : EstiCica est un soin dermo-réparateur pour le traitement et la prévention des cicatrices (hypertrophiques, chéloïdes, ou hyperpigmentées) résultant de blessures, kystes, acné, césarienne, chirurgie mammaire ou autres. Il combine les avantages du gel de silicone et du Wonderlight pour offrir de meilleurs résultats dans le traitement et la prévention des cicatrices. Le gel de silicone aide à réparer la couche du derme qui a été endommagée par les cicatrices. Il permet également d’assouplir le tissu cicatriciel et de former une barrière protectrice sur celui-ci afin qu’il ne soit pas visible de l’extérieur. Cela permet d’éviter que la peau ne soit endommagée à l’avenir par des frottements ou des pressions, tout en conservant l’humidité à l’intérieur de celle-ci afin qu’elle puisse guérir plus rapidement. Wonderlight aide à éclaircir les taches sombres sur votre visage causées par des cicatrices ou des cicatrices d’acné. Il contient de la vitamine C, un antioxydant qui réduit l’inflammation de votre corps à l’origine des taches sombres sur votre visage.",,"Antiseptique et cicatrisation, Cosmétologie médicale",https://xenlaboratoires.com/product/esticica/
L Crispatus,"L. crispatus est un complément associant 1 milliard de Lactobacillus crispatus , pour restaurer la flore vaginale, et 15 mg de zinc bisglycinate , pour soutenir l’immunité. Il aide à rééquilibrer la flore intime , à renforcer la barrière naturelle et à prévenir les récidives d’infections vaginales .",,"Compléments alimentaires, Gynécologie",https://xenlaboratoires.com/product/l-crispatus/
KELA ZINC FORT 3,"Les bienfaits : KELA ZINC FORT 3 contient du zinc et des vitamines C, D3 et du sélénium. Il se présente sous la forme d’une boîte de 30 gélules vertes et de 30 gélules orange brique. KELA ZINC FORT 3  contient du : Zinc – Vitamine C – Vitamine D3 – Sélénium – Oméga 3 KELA ZINC FORT 3 est un complément alimentaire qui peut être utilisé comme adjuvant dans le processus de perte de poids tout en contribuant au métabolisme normal des macronutriments. KELA ZINC FORT 3 est recommandé en cas de carence en zinc, pour le maintien et le développement des cellules du système immunitaire inné et acquis, pour réduire la durée et la gravité des infections des voies respiratoires, dans le syndrome de détresse respiratoire, en réduisant l’inflammation pulmonaire et pour aider à maintenir les cheveux, les ongles, l’élasticité de la peau ainsi que la structure osseuse et musculaire.",,"Compléments alimentaires, Immunité",https://xenlaboratoires.com/product/kela-zinc-fort-3/
Vitamine A,"Les bienfaits : La crème dermique vitamine A 0.3% est recommandée pour apaise les irritations des strates épidermiques superficielles, consécutives à diverses agressions telles que ls conditions climatiques extrêmes, les interventions dermatologiques légères, ainsi que les traumatismes cutanés ponctuels notamment les plaies et les brulures superficielles. Cette formulation contribue également à lutter contre les problèmes associés au vieillissement cutanés en réduisant les rides, en régulant la pigmentation et en améliorant le teint.",,Dispositifs médicaux,https://xenlaboratoires.com/product/vitamine-a/
Vagi Germina,"Les bienfaits : Vagi germina est un dispositif médical, contenant 1 milliard de souche de l. crispatus. Cette bactérie bénéfique est présente naturellement dans le vagin et possède une forte capacitée d’adhérence à la paroi vaginale. Vagi germina apporte des lactobacilles en quantité importante pour recréer une véritable barrière au niveau de la muqueuse vaginale.",,Dispositifs médicaux,https://xenlaboratoires.com/product/vagi-germina/
KELA FER 120,"Les bienfaits : Kela fer 120 est un complément alimentaire composé de bisglycinate de fer chélaté avec de la vitamine C. Ce produit est recommandé aux adolescents pendant leur période de croissance, aux femmes enceintes ou allaitantes, en cas de règles abondantes et aux personnes qui adoptent un régime végétarien.",,"Compléments alimentaires, Vitamines et minéraux",https://xenlaboratoires.com/product/kela-fer-120/
KELA FER G,"Les bienfaits : Il est important de consommer suffisamment de fer pendant la grossesse et l’allaitement, mais c’est plus facile à dire qu’à faire. C’est pourquoi nous avons créé KELA FER G, un complément alimentaire qui fournit tous les nutriments dont vous avez besoin pour vous offrir une grossesse saine et un allaitement équilibré. KELA FER G est recommandé pour la supplémentation en fer, cuivre, zinc, vitamine C, vitamine B6, vitamine B9 et vitamine B12.",,"Compléments alimentaires, Vitamines et minéraux",https://xenlaboratoires.com/product/kela-fer-g/
NAUSEPA,"Les bienfaits : Les gélules NAUSEPA sont faciles à utiliser. Pour les femmes enceintes et allaitantes, il est recommandé de prendre 1 capsule 4 fois par jour avec un verre d’eau. Les gélules NAUSEPA doivent être utilisées avec prudence chez les personnes souffrant de calculs biliaires. Ne prenez jamais de gélules NAUSEPA si vous êtes allergique à la substance active. Ne pas dépasser la dose journalière recommandée. Conserver à une température ambiante inférieure à 30°C, dans un endroit sec et à l’abri de l’humidité. Tenir hors de portée et de vue des enfants.",,"Compléments alimentaires, Gynécologie",https://xenlaboratoires.com/product/nausepa/
HYDRA 24 LÉGÈRE SPF 20,"Les bienfaits : Hydra 24, crème hydratante qui peut être utilisée pour tous les types de peau. Elle procure 24 heures d’hydratation et protège contre les rayons UV (SPF 20). Elle est non grasse et sa texture fraîche laisse la peau infiniment confortable, douce et visiblement radieuse. En outre l’urée pure possède des propriétés d’hydratation intense, redonne souplesse et douceur à la peau et facilite le renouvellement des cellules cutanées. HYDRA 24 contribue également à améliorer les sensations de confort telles que les démangeaisons et les picotements en apaisant la peau.",,"Cosmétologie médicale, Peaux grasses, Peaux séches",https://xenlaboratoires.com/product/hydra-24-legere-spf-20/
Kela Mag Brain Sachets Buvables,"Complément buvable pour les fonctions cognitives, la fatigue mentale et le stress.",,"Compléments alimentaires, Neurologie",https://xenlaboratoires.com/product/kela-mag-brain-sachets-buvables/
Aprés Shampoing Q10,"Les bienfaits : L’après-shampooing Keratin Q10 est un produit riche en actifs hydratants, nourrissants et revitalisants qui offre une protection maximale contre les agressions quotidiennes telles que la pollution, les shampooings décapants, le calcaire, le brushing, la coloration et le brossage. Ce produit contient une formule à base de plusieurs matières bio-actives, notamment le beurre de karité, l’huile de macadamia, la kératine végétale, KERDYN HH, le coenzyme Q10, la vitamine F, la vitamine E, la céramide A2 et Hair Spa. En utilisant cet après-shampooing, vous pouvez vous attendre à une fibre capillaire lisse et souple, des cheveux protégés et renforcés, ainsi qu’une chevelure sublimée, redensifiée et brillante.",,"Cheveux sec abîmés, Cosmétologie médicale",https://xenlaboratoires.com/product/apres-shampoing-q10/
PILO SLOW CORPS,"Les bienfaits : Pilo Slow est une crème concentrée en actifs naturels, conçue pour réduire graduellement la croissance des poils disgracieux sur le visage et le corps. Avec une action inhibitrice de la repousse des poils, Pilo Slow est formulé pour rendre les poils pratiquement plus invisibles à chaque utilisation. La crème possède également une action anti-inflammatoire, hydratante et apaisante. Pilo Slow est indiqué pour l’hyperpilosité localisée idiopathique et comme traitement d’entretien après épilation au laser. Les résultats incluent une réduction de la densité pilaire, une diminution de la fréquence d’épilation nécessaire, une apparence plus fine, plus claire, plus douce et moins rigoureuse des poils, ainsi qu’une peau apaisée et hydratée.",,"Cosmétologie médicale, Hyperpilosité, Peaux grasses, Peaux séches",https://xenlaboratoires.com/product/pilo-slow-corps/
Dorzen Plus,"Les bienfaits : DORZEN PLUS se présente sous forme de boite de 30 gélules est un complément alimentaire qui aide à améliorer la qualité du sommeil et à réduire les troubles du sommeil. Il est formulé avec de la mélatonine, de la valériane et de la L-théanine, des ingrédients naturels connus connues pour leurs propriétés anxiolytiques et sédatives. La formule régule également l’horloge biologique et les cycles de sommeil afin que vous puissiez rétablir des habitudes de sommeil saines. Enfin, lorsque vous vous réveillez en vous sentant reposé et plein d’énergie, c’est un signe certain que votre corps a eu une bonne nuit de repos !",,"Compléments alimentaires, Neurologie",https://xenlaboratoires.com/product/dorzen-plus/
BI COVER 50+,"Les bienfaits : La Crème Ecran Teintée Bi Cover 50+ est une crème solaire teintée qui offre une haute protection contre les rayons UVA / UVB avec un indice de protection solaire SPF 50+. Elle est également enrichie en antioxydants et en actifs dépigmentants, ce qui la rend adaptée aux peaux sujettes à l’hyperpigmentation. Cette crème est également imperméable à l’eau et à la sueur, ce qui la rend idéale pour une utilisation en extérieur. La crème Ecran Teintée Bi Cover 50+ offre une double action en agissant comme une protection solaire efficace tout en fournissant une couvrance parfaite pour dissimuler les cernes et autres imperfections. Elle prévient également l’hyperpigmentation chez les peaux prédisposées. La texture légère de la crème la rend facile à appliquer",,"Cosmétologie médicale, Protection solaire",https://xenlaboratoires.com/product/bi-cover-50/
Kaleorid Xen,"Les bienfaits : Kaleorid xen est un complément alimentaire à base de chlorure de potassium, avec une teneur en potassium élémentaire représentant 25% d’AJR. Kaleorid xen est recommandé en cas de déficit en potassium (hypokaliémie), causé principalement par la prise de certains médicaments telque les diurétiques, les corticoïdes et tous les laxatifs stimulants…)",,"Compléments alimentaires, Gastrologie",https://xenlaboratoires.com/product/kaleorid-xen/
Intimel Ph8,"Les bienfaits : Intimel Ph8 est un gel moussant apaisant qui soulage rapidement les sensations d’inconfort et d’irritation. Sa formule unique et non agressive nettoie en douceur sans dessécher, permettant un retour rapide à l’équilibre de la zone intime. Composé d’ingrédients sélectionnés avec soin, ce gel contient du Bacocalmine, de l’Hydraprotectol, du Pirocton Olamin, de l’Aloe Vera, du Mimosa Tenuiflora et de l’Arctium Lappa pour une action réparatrice, protectrice et hydratante.",,"Cosmétologie médicale, Intimel",https://xenlaboratoires.com/product/intimel-ph8/
KELA FER 220 LIPO,Fer liposomal + vitamine C pour une absorption optimale et un soutien à la vitalité.,,"Compléments alimentaires, Gynécologie, Vitamines et minéraux",https://xenlaboratoires.com/product/kela-fer-220-lipo/
Forti Q10 shampoing,"Les bienfaits : Le Forti Q10 Shampooing est un produit stimulant et fortifiant pour les cheveux, spécialement conçu pour aider à prévenir la chute des cheveux et favoriser leur croissance. Il est formulé avec des ingrédients actifs tels que le Coenzyme Q10, les céramides et des extraits d’huiles essentielles de romarin et de lavande. Ces ingrédients travaillent en synergie pour améliorer la micro-circulation du cuir chevelu, fortifier les cheveux et stimuler la croissance des follicules pileux.",,"Chute cheveux, Cosmétologie médicale",https://xenlaboratoires.com/product/forti-q10-shampoing/
