Substance 1,Substance 2,Type interaction,Explication détaillée,Conduite à tenir
Vitamine C,Vitamine B12,CONFLIT PARTIEL,"À très forte dose (>1g), la vitamine C peut détruire une partie de la B12 in vitro (contesté in vivo, mais prudence).",Espacer de 2h si vitamine C > 1g.
Vitamine A,Vitamine D,CONFLIT PARTIEL,"À très forte dose, la vitamine A antagonise les effets de la vitamine D sur le métabolisme calcique. Ratio important.",Respecter le ratio A/D. Ne pas surdoser la vitamine A.
Vitamine A,Vitamine E,SYNERGIE,"La vitamine E protège la vitamine A de l'oxydation intestinale et hépatique, améliorant son stockage.",Association bénéfique.
Vitamine A,Bêta-carotène,INTERACTION,Le bêta-carotène est converti en vitamine A selon les besoins (conversion régulée). Pas de risque d'hypervitaminose A avec le bêta-carotène seul.,Préférer le bêta-carotène chez la femme enceinte (pas de tératogénicité).
Vitamine D,Vitamine K2,SYNERGIE,La vitamine D augmente l'absorption du calcium; la K2 le dirige vers les os via l'ostéocalcine activée.,"Duo essentiel. Sans K2, la vitamine D peut favoriser les calcifications vasculaires."
Vitamine D,Vitamine A (haute dose),CONFLIT,L'excès de rétinol inhibe la signalisation de la vitamine D au niveau nucléaire (compétition RXR).,Ne pas supplémenter en vitamine A à haute dose si vitamine D.
Vitamine B9 (folate),Vitamine B12,SYNERGIE,Indissociables: le folate est piégé sous forme 5-MTHF sans B12 (piège méthyl-folate). B12 libère le folate actif.,Toujours doser B12 AVANT de supplémenter en folate (risque de masquage d'une carence B12).
Vitamine B1,Vitamines B (complexe),SYNERGIE,"Toutes les vitamines B sont co-facteurs dans les voies métaboliques communes (cycle de Krebs, β-oxydation).",Le complexe B complet est généralement préférable à une B isolée.
Vitamine B6,Vitamine B9,SYNERGIE,Le trio B6+B9+B12 réduit l'homocystéine plasmatique (facteur de risque cardiovasculaire indépendant).,Trio cardiovasculaire protecteur.
Vitamine B6,Vitamine B12,SYNERGIE,Co-facteurs dans le métabolisme de l'homocystéine et la synthèse des neurotransmetteurs.,Association neurologique bénéfique.
Vitamine E,Vitamine K,CONFLIT,La vitamine E à haute dose (>400 UI/j) antagonise la vitamine K → risque de saignement.,Ne pas dépasser 400 UI/j de vitamine E sous anticoagulants AVK.
Vitamine E,Oméga 3,SYNERGIE,La vitamine E protège les acides gras polyinsaturés EPA/DHA de la peroxydation lipidique.,Les bons suppléments d'oméga 3 contiennent toujours de la vitamine E ajoutée.
Vitamine K,Vitamine A,SYNERGIE,La vitamine K soutient l'action de la vitamine A dans le métabolisme osseux.,Complémentarité osseuse.
Oméga 3 (EPA/DHA),Oméga 6 (acide linoléique),ÉQUILIBRE,Ratio oméga 6/oméga 3 idéal = 3:1 à 5:1. L'alimentation moderne est souvent 15:1 à 20:1 → état pro-inflammatoire.,Réduire les oméga 6 (huiles végétales) ET augmenter les oméga 3 (poissons gras).
Oméga 3,Vitamine D,SYNERGIE,Les oméga 3 améliorent l'absorption de la vitamine D liposoluble. Le poisson gras apporte naturellement les deux.,Association naturelle et bénéfique.
Oméga 3,Coenzyme Q10,SYNERGIE,"Double protection cardiovasculaire: oméga 3 (anti-inflammatoire, triglycérides) + CoQ10 (énergie cardiaque, antioxydant).",Association cardiovasculaire de choix.
Oméga 3,Curcuma,SYNERGIE,"Double action anti-inflammatoire par des voies différentes: oméga 3 → résolvines/protectines, curcuma → inhibition NF-κB.",Excellent combo articulaire et cardiovasculaire.
Lécithine de soja,Oméga 3,SYNERGIE,La lécithine (phospholipides) améliore l'absorption des oméga 3. Les deux soutiennent la santé cérébrale.,Association cognitive bénéfique.
Lécithine de soja,Vitamines B,SYNERGIE,La lécithine fournit de la choline (précurseur d'acétylcholine). Les vitamines B soutiennent la neurotransmission.,Combo mémoire/concentration.
Huile d'onagre,Huile de bourrache,SYNERGIE,"Toutes deux riches en GLA (acide gamma-linolénique), anti-inflammatoire et régulateur hormonal.",Association classique pour le syndrome prémenstruel et l'eczéma.
Huile d'onagre,Anticoagulants,CONFLIT,Le GLA a un léger effet anti-plaquettaire à forte dose.,Prudence sous anticoagulants.
CLA (acide linoléique conjugué),L-Carnitine,SYNERGIE,"CLA réduit le stockage des graisses, la L-carnitine augmente leur oxydation dans les mitochondries.",Association minceur (mais effets modestes).
L-Tryptophane,5-HTP,CONFLIT,Les deux sont des précurseurs de la sérotonine. L'association peut causer un excès de sérotonine.,NE PAS associer. Choisir l'un OU l'autre.
L-Tryptophane,ISRS (antidépresseurs),CONFLIT MAJEUR,⚠️ Risque de syndrome sérotoninergique (potentiellement mortel). Triple augmentation de la sérotonine.,CONTRE-INDICATION. Ne jamais associer tryptophane + antidépresseur sans avis médical strict.
5-HTP,ISRS (antidépresseurs),CONFLIT MAJEUR,⚠️ Risque de syndrome sérotoninergique. Le 5-HTP augmente directement la sérotonine.,CONTRE-INDICATION ABSOLUE avec tout antidépresseur sérotoninergique.
5-HTP,Carbidopa,INTERACTION,La carbidopa empêche la conversion périphérique du 5-HTP → plus de 5-HTP atteint le cerveau → risque de surdosage sérotoninergique.,Association déconseillée sans supervision médicale.
L-Carnitine,Thé vert,SYNERGIE,La L-carnitine transporte les acides gras dans les mitochondries; les catéchines du thé vert activent la thermogenèse.,Association minceur complémentaire.
L-Carnitine,Oméga 3,SYNERGIE,La L-carnitine transporte les acides gras oméga 3 dans les mitochondries pour la β-oxydation.,Combinaison logique pour l'énergie et le métabolisme lipidique.
L-Carnitine,Chrome,SYNERGIE,Double action sur le métabolisme: L-carnitine (acides gras) + chrome (glucose).,Association intéressante pour le syndrome métabolique.
L-Cystéine / NAC,Vitamine C,SYNERGIE,Le NAC est le précurseur du glutathion (GSH). La vitamine C recycle le GSH oxydé.,Double système antioxydant.
NAC (N-acétylcystéine),Paracétamol,PROTECTION,Le NAC est l'ANTIDOTE de l'intoxication au paracétamol (régénère le glutathion hépatique).,Le NAC protège le foie lors des traitements au paracétamol. Intérêt en préventif.
NAC,Nitroglycérine,CONFLIT,"Le NAC potentialise l'effet hypotenseur de la nitroglycérine → hypotension sévère, céphalées.",Prudence. Surveillance tensionnelle.
Glutamine,Probiotiques,SYNERGIE,"La glutamine nourrit les cellules intestinales (entérocytes), les probiotiques colonisent. Double réparation intestinale.",Association classique pour l'hyperperméabilité intestinale.
Glutamine,Chimiothérapie (mucite),SYNERGIE,La glutamine peut réduire la sévérité de la mucite induite par la chimiothérapie.,Sous supervision oncologique uniquement.
BCAA (leucine/isoleucine/valine),Lévodopa,CONFLIT,Les BCAA et la lévodopa entrent en compétition pour le même transporteur au niveau de la barrière hémato-encéphalique.,Réduire les BCAA chez les patients parkinsoniens sous lévodopa.
Collagène,Vitamine C,SYNERGIE,La vitamine C est INDISPENSABLE à la synthèse du collagène (cofacteur de la prolyl-hydroxylase).,TOUJOURS associer collagène + vitamine C pour efficacité maximale.
Collagène,Acide hyaluronique,SYNERGIE,"Complémentaires: le collagène assure la structure, l'acide hyaluronique l'hydratation des tissus connectifs.",Association articulaire et peau classique.
Créatine,Caféine,CONFLIT PARTIEL,Certaines études montrent que la caféine peut atténuer les effets ergogéniques de la créatine sur la performance.,Séparer les prises de 1-2h. Résultats variables selon les individus.
Créatine,Vitamine D,SYNERGIE,La créatine + vitamine D améliorent la force musculaire chez les seniors de façon synergique.,Association intéressante pour la sarcopénie.
Valériane,Passiflore,SYNERGIE,"Complémentaires: la valériane facilite l'endormissement (GABA), la passiflore réduit l'anxiété nocturne (GABA + sérotoninergique).",Association classique sommeil. Très efficace ensemble.
Valériane,Mélisse,SYNERGIE,"Double action: la valériane est sédative, la mélisse est anxiolytique et antispasmodique digestive.",Bonne association pour le stress avec composante digestive.
Valériane,Houblon,SYNERGIE,Le houblon potentialise l'effet sédatif de la valériane. Études cliniques positives en association.,Association étudiée et validée pour l'insomnie légère.
Passiflore,Mélisse,SYNERGIE,Deux anxiolytiques naturels aux mécanismes complémentaires.,Association apaisante sans somnolence marquée.
Passiflore,Aubépine,SYNERGIE,"Passiflore (anxiété) + aubépine (palpitations d'origine nerveuse, éréthisme cardiaque).",Association classique: anxiété + palpitations.
Échinacée,Propolis,SYNERGIE,"Double action immunitaire: l'échinacée stimule les macrophages et NK, la propolis est antiseptique directe.",Association de référence pour les infections ORL.
Échinacée,Vitamine C,SYNERGIE,"L'échinacée module l'immunité innée, la vitamine C soutient les lymphocytes et la phagocytose.",Trio échinacée + propolis + vitamine C = défense immunitaire optimale.
Échinacée,Zinc,SYNERGIE,Le zinc est nécessaire au développement et à l'activation des cellules T et NK que l'échinacée stimule.,Combinaison efficace rhume/grippe.
Échinacée,Astragale,SYNERGIE,L'échinacée stimule l'immunité à court terme; l'astragale la renforce au long cours (adaptogène immunitaire).,"Alterner: échinacée en aigu (max 8 semaines), astragale en fond."
Thym,Eucalyptus,SYNERGIE,"Thym (thymol = antiseptique) + eucalyptus (1,8-cinéole = décongestionnant). Actions respiratoires complémentaires.",Association classique dans les infections des voies respiratoires.
Thym,Plantain,SYNERGIE,"Thym (antiseptique, expectorant) + plantain (émollient, antitussif). Le thym combat l'infection, le plantain calme l'irritation.","Association ORL/toux: thym traite, plantain apaise."
Thym,Propolis,SYNERGIE,Double antiseptique respiratoire aux mécanismes complémentaires.,Association hivernale classique.
Ginkgo biloba,Oméga 3,SYNERGIE avec PRUDENCE,"Synergie cognitive et circulatoire, mais les deux ont un léger effet anti-plaquettaire.",OK à dose normale. Prudence si anticoagulant en parallèle.
Ginkgo biloba,Bacopa monnieri,SYNERGIE,"Ginkgo (circulation cérébrale) + bacopa (mémoire, neuroprotection). Deux nootropiques complémentaires.",Association cognitive de choix.
Ginkgo biloba,Phosphatidylsérine,SYNERGIE,"Ginkgo (microcirculation) + PS (neurones, mémoire). Complémentaires pour le déclin cognitif.",Association étudiée chez le senior.
Ginseng,Gelée royale,SYNERGIE,"Double adaptogène: le ginseng pour l'énergie mentale/physique, la gelée royale pour la vitalité globale.",Association tonifiante classique.
Ginseng,Rhodiola rosea,SYNERGIE,"Deux adaptogènes complémentaires: ginseng (énergie, puissance), rhodiola (résistance au stress, endurance).",Association adaptogène de référence. Pas le soir.
Ginseng,Éleuthérocoque,SYNERGIE,Le ginseng de Sibérie est complémentaire du ginseng asiatique pour l'adaptation au stress.,Les deux sont adaptogènes mais avec des profils légèrement différents.
Rhodiola rosea,Ashwagandha,SYNERGIE,"Rhodiola (énergie, anti-fatigue, matin) + ashwagandha (calme, anti-stress, soir). Complémentaires en chrono-adaptogénèse.","Rhodiola le matin, ashwagandha le soir."
Ashwagandha,Magnésium,SYNERGIE,"Ashwagandha (adaptogène, cortisol) + magnésium (relaxant musculaire et nerveux). Double anti-stress.",Association anxiété/stress.
Ashwagandha,Hormones thyroïdiennes,CONFLIT,L'ashwagandha peut augmenter les taux de T3 et T4 → hyperthyroïdie chez les patients sous lévothyroxine.,⚠️ Contre-indiqué sous lévothyroxine ou en cas d'hyperthyroïdie.
Ashwagandha,Sédatifs/Anxiolytiques,CONFLIT,Effet sédatif additif possible. L'ashwagandha est GABAergique.,Prudence sous benzodiazépines ou autres sédatifs.
Ashwagandha,Immunosuppresseurs,CONFLIT,L'ashwagandha peut stimuler le système immunitaire → antagonisme avec les immunosuppresseurs.,Déconseillé sous immunosuppresseurs et en maladie auto-immune.
Millepertuis,Passiflore,PRUDENCE,L'association peut augmenter le risque d'un excès sérotoninergique à forte dose.,Possible mais à dose modérée. Ne pas ajouter d'ISRS en plus.
Harpagophytum,Glucosamine,SYNERGIE,Harpagophytum (anti-inflammatoire) + glucosamine (chondroprotection). Actions complémentaires sur l'arthrose.,"L'un soulage, l'autre reconstruit. Association articulaire de référence."
Harpagophytum,Chondroïtine,SYNERGIE,Anti-inflammatoire + protection structurelle du cartilage.,Association classique pour l'arthrose.
Harpagophytum,Curcuma,SYNERGIE,Double anti-inflammatoire naturel par des mécanismes différents.,Excellent combo articulaire.
Harpagophytum,Boswellia,SYNERGIE,Harpagophytum (harpagosides) + boswellia (acides boswelliques). Deux anti-inflammatoires naturels synergiques.,"Association anti-inflammatoire de choix, notamment pour l'arthrose."
Vigne rouge,Marron d'Inde,SYNERGIE,Vigne rouge (anthocyanes = protection vasculaire) + marron d'Inde (aescine = anti-œdémateux). Actions veino-toniques complémentaires.,Duo de référence pour l'insuffisance veineuse.
Vigne rouge,Hamamélis,SYNERGIE,Double action vasculoprotectrice et astringente.,Association classique jambes lourdes.
Vigne rouge,Fragon,SYNERGIE,Vigne rouge + fragon (petit houx): complémentaires pour la tonicité veineuse.,Association veineuse complète.
Chardon-marie,Desmodium,SYNERGIE,Chardon-marie (silymarine = hépatoprotection et régénération) + desmodium (détoxification hépatique).,Association hépatoprotectrice de référence. Idéale après un traitement hépatotoxique.
Chardon-marie,Artichaut,SYNERGIE,"Chardon-marie (protection hépatocellulaire) + artichaut (cholérétique, digestion des graisses).",Duo foie: protection + drainage.
Artichaut,Radis noir,SYNERGIE,"Artichaut (cholérétique) + radis noir (cholérétique, drainant hépatique). Double stimulation biliaire.",Association détox classique.
Artichaut,Pissenlit,SYNERGIE,Artichaut (foie) + pissenlit (rein). Drainage hépato-rénal complet.,Association dépurative de référence.
Bardane,Pensée sauvage,SYNERGIE,"Bardane (dépurative, anti-séborrhéique) + pensée sauvage (anti-eczéma, anti-acné). Deux plantes de la peau.","Association dermatologique classique: acné, eczéma."
Canneberge,D-Mannose,SYNERGIE,Canneberge (proanthocyanidines anti-adhésion) + D-mannose (compétition d'adhésion bactérienne). Double protection urinaire.,Association de référence pour la prévention des cystites récidivantes.
Canneberge,Probiotiques (Lactobacillus),SYNERGIE,"La canneberge empêche l'adhésion d'E. coli, les lactobacilles colonisent et protègent la flore vaginale/urinaire.",Triple protection: canneberge + D-mannose + probiotiques.
Canneberge,Warfarine,CONFLIT,La canneberge peut inhiber le CYP2C9 → augmentation de l'effet de la warfarine → risque hémorragique.,Surveillance INR si consommation régulière de canneberge.
Berbérine,Metformine,CONFLIT,La berbérine active l'AMPK comme la metformine → risque d'hypoglycémie additive + acidose lactique.,⚠️ Ne pas associer sans surveillance médicale stricte. Risque d'hypoglycémie sévère.
Berbérine,Ciclosporine,CONFLIT MAJEUR,La berbérine inhibe le CYP3A4 et la P-glycoprotéine → augmentation des taux de ciclosporine → toxicité.,CONTRE-INDICATION.
Berbérine,Anticoagulants,CONFLIT,La berbérine peut inhiber l'agrégation plaquettaire et potentialiser les anticoagulants.,Surveillance INR.
Kudzu,Metformine,CONFLIT,Le kudzu peut potentialiser l'effet hypoglycémiant de la metformine.,Surveillance glycémique.
Kudzu,Anticoagulants,CONFLIT,Contient des isoflavones avec une activité anti-plaquettaire légère.,Prudence sous AVK.
Garcinia cambogia,Statines,CONFLIT,Le Garcinia et les statines affectent tous deux le métabolisme lipidique (HMG-CoA). Interaction potentielle.,Prudence. Surveiller les enzymes hépatiques.
Garcinia cambogia,Antidiabétiques,CONFLIT,Le HCA du Garcinia peut affecter la glycémie.,Surveiller la glycémie.
Guarana,Thé vert,CUMUL CAFÉINE,Les deux contiennent de la caféine. Guarana (~40mg/g) + thé vert (~30mg/tasse). Risque de surdosage en caféine.,Calculer la caféine totale. Max 400mg/jour toutes sources.
Guarana,Maté,CUMUL CAFÉINE,Le maté contient de la caféine (matéine). Cumul avec le guarana = caféine excessive.,Ne pas dépasser 400mg caféine/jour.
Guarana,Café vert,CUMUL CAFÉINE,Le café vert contient de la caféine + acide chlorogénique. Cumul de caféine.,Éviter de combiner trop de sources de caféine.
Café vert,Fer,CONFLIT,L'acide chlorogénique du café vert chélate le fer et réduit fortement son absorption.,Espacer de 2h.
Maca,"Hormones (contraceptifs, THS)",PRUDENCE,La maca peut moduler les hormones sexuelles de façon indirecte (axe hypothalamo-hypophysaire).,Prudence si traitement hormonal. Pas de contre-indication formelle mais surveiller.
Tribulus terrestris,Antihypertenseurs,CONFLIT,Possible effet hypotenseur léger → effet additif.,Surveillance tensionnelle.
Tribulus terrestris,Antidiabétiques,CONFLIT,Possibles effets sur la glycémie.,Surveillance glycémique.
Actée à grappes noires,Tamoxifène,CONFLIT,Activité œstrogénique possible → peut interférer avec le tamoxifène (cancers hormono-dépendants).,CONTRE-INDIQUÉ en cas de cancer du sein hormono-dépendant.
Actée à grappes noires,Hépatotoxicité,PRUDENCE,Cas rapportés d'hépatotoxicité (rares mais graves). Surveiller les transaminases.,Surveiller la fonction hépatique. Arrêter si jaunisse ou douleur abdominale.
Soja (isoflavones),Tamoxifène,CONFLIT,Les isoflavones ont une activité œstrogénique faible → peuvent interférer avec l'anti-œstrogène.,Débattu mais par précaution: déconseillé sous tamoxifène.
Soja (isoflavones),Lévothyroxine,CONFLIT,Le soja réduit l'absorption de la lévothyroxine.,Espacer de 4h entre soja et lévothyroxine.
Ail (allicine),Anticoagulants,CONFLIT,L'ail inhibe l'agrégation plaquettaire → risque hémorragique additif sous AVK/NACO.,Prudence à haute dose. Ail alimentaire normal = OK.
Ail (allicine),Saquinavir (ARV),CONFLIT MAJEUR,L'ail réduit les taux de saquinavir de 50% → échec thérapeutique VIH.,Contre-indiqué sous saquinavir.
Ortie racine,Antihypertenseurs,CONFLIT,L'ortie a un effet diurétique et peut potentialiser l'effet hypotenseur.,Surveillance TA.
Ortie racine,Antidiabétiques,CONFLIT,L'ortie peut affecter la glycémie.,Surveillance glycémique.
Prêle,Diurétiques,CONFLIT,La prêle est diurétique → effet additif → risque de déshydratation/hypokaliémie.,Augmenter l'hydratation. Surveiller le potassium si diurétique associé.
Prêle,Lithium,CONFLIT,L'effet diurétique de la prêle peut concentrer le lithium → risque de toxicité.,Déconseillé sous lithium.
Reishi / Champignons médicinaux,Anticoagulants,CONFLIT,Le reishi inhibe l'agrégation plaquettaire (adénosine) → risque hémorragique.,Prudence sous anticoagulants. Arrêter 2 semaines avant chirurgie.
Reishi / Champignons médicinaux,Immunosuppresseurs,CONFLIT,Les polysaccharides du reishi stimulent l'immunité → antagonisme.,Déconseillé sous immunosuppresseurs.
Cordyceps,Anticoagulants,CONFLIT,Le cordyceps peut inhiber l'agrégation plaquettaire.,Prudence sous AVK.
Cordyceps,Immunosuppresseurs,CONFLIT,Activité immunostimulante.,Déconseillé sous immunosuppresseurs.
Sauge,Antiépileptiques,CONFLIT,La thuyone de la sauge est convulsivante à forte dose → antagonise les antiépileptiques.,Contre-indiquée chez l'épileptique.
Sauge,Antidiabétiques,CONFLIT,La sauge peut réduire la glycémie → effet additif.,Surveillance glycémique.
Probiotiques,"Prébiotiques (FOS, inuline)",SYNERGIE,"Les prébiotiques nourrissent sélectivement les probiotiques, augmentant leur colonisation intestinale.",Association = synbiotique. Efficacité supérieure au probiotique seul.
Probiotiques,Glutamine,SYNERGIE,"La glutamine répare la muqueuse intestinale, les probiotiques la colonisent.",Association pour le leaky gut et post-antibiotique.
Spiruline,Chlorella,SYNERGIE,"Spiruline (nutrition, protéines, fer) + chlorella (détox métaux lourds, CGF). Complémentaires.",Association de référence en microalgues.
Spiruline,Vitamine C,SYNERGIE,La vitamine C améliore l'absorption du fer non-héminique contenu dans la spiruline.,Bonne association.
Gelée royale,Propolis,SYNERGIE,"Gelée royale (vitalité, nutrition) + propolis (antiseptique, immunité). Produits de la ruche complémentaires.",Association hivernale classique.
Gelée royale,Pollen,SYNERGIE,"Gelée royale (tonifiant) + pollen (nutritif, appétit). Complémentaires de la ruche.",Association revitalisante.
Charbon actif,Probiotiques,CONFLIT,Le charbon adsorbe les probiotiques → annule leur effet.,Prendre le charbon 3h avant ou après les probiotiques.
Charbon actif,Médicaments (tous),CONFLIT MAJEUR,Le charbon adsorbe quasi tout de façon non-spécifique.,⚠️ 2h AVANT ou 3h APRÈS tout médicament/supplément.
Argile (montmorillonite),Médicaments (tous),CONFLIT,L'argile adsorbe les médicaments comme le charbon.,Espacer de 2-3h.
Psyllium / Fibres,Médicaments oraux,CONFLIT,Les fibres chélatent et retardent l'absorption des médicaments.,Prendre les médicaments 2h avant ou après les fibres.
