disease_id,disease_name,therapeutic_area,chronic_or_acute,severity_level,brief_clinical_description,typical_patient_profile,common_comorbidities
DIS017,Hypothyroidism (Hashimoto's),Endocrinology,Chronic,Moderate,Underactive thyroid due to autoimmune destruction,Women >40; family history,Hyperlipidemia; Depression
DIS018,Cushing's Syndrome,Endocrinology,Chronic,Severe,Excess cortisol production,Adults 20-50; glucocorticoid use,Hypertension; Diabetes; Osteoporosis
DIS019,Addison's Disease,Endocrinology,Chronic,Moderate,Primary adrenal insufficiency,Adults 30-50; autoimmune history,Other autoimmune disorders; Vitiligo
DIS020,Polycystic Ovary Syndrome,Endocrinology,Chronic,Moderate,Hormonal disorder causing enlarged ovaries with cysts,Reproductive-age women; obese,Infertility; Type 2 diabetes; Metabolic syndrome
DIS021,Osteoporosis,Endocrinology,Chronic,Moderate,Reduced bone mass and microarchitectural deterioration,Postmenopausal women; elderly,Fractures; Sarcopenia
DIS022,Pituitary Adenoma,Endocrinology,Chronic,Moderate,Benign tumor of pituitary gland,Adults 30-60; both sexes,Visual field defects; Hypopituitarism
DIS023,Acromegaly,Endocrinology,Chronic,Severe,Excess growth hormone in adulthood,Adults 40-60; rare,Cardiomyopathy; Diabetes; Arthritis
DIS024,Diabetes Insipidus,Endocrinology,Chronic,Moderate,Deficiency of ADH or renal resistance to ADH,Any age; post-head trauma or genetic,Dehydration; Electrolyte imbalance
DIS025,Metabolic Syndrome,Endocrinology,Chronic,Moderate,Cluster of conditions increasing cardiovascular risk,Obese adults; sedentary,Type 2 diabetes; Cardiovascular disease
DIS026,Gastroesophageal Reflux Disease,Gastroenterology,Chronic,Moderate,Backflow of stomach contents into esophagus,Adults; obese; pregnancy,Barrett's esophagus; Esophagitis
DIS027,Peptic Ulcer Disease,Gastroenterology,Chronic,Moderate,Ulcers in stomach or duodenum,H. pylori infected; NSAID users,GI bleeding; Perforation
DIS028,Crohn's Disease,Gastroenterology,Chronic,Severe,Chronic inflammatory bowel disease affecting any GI tract,Young adults 15-35; smokers,Arthritis; Uveitis; Anemia
DIS029,Ulcerative Colitis,Gastroenterology,Chronic,Severe,Chronic inflammation of colon and rectum,Adults 20-40; nonsmokers,Primary sclerosing cholangitis; Colon cancer risk
DIS030,Irritable Bowel Syndrome,Gastroenterology,Chronic,Mild,Functional bowel disorder with abdominal pain and altered bowel habits,Women <50; stress,Anxiety; Fibromyalgia
DIS031,Celiac Disease,Gastroenterology,Chronic,Moderate,Immune reaction to gluten causing small intestinal damage,Children; adults with genetic predisposition,Osteoporosis; Anemia; Dermatitis herpetiformis
DIS032,Acute Pancreatitis,Gastroenterology,Acute,Severe,Inflammation of pancreas with rapid onset,Gallstones; alcohol abuse; hypertriglyceridemia,Diabetes; Pseudocyst
DIS033,Chronic Pancreatitis,Gastroenterology,Chronic,Severe,Progressive inflammatory destruction of pancreas,Chronic alcohol use; hereditary,Pain; Malabsorption; Diabetes
DIS034,Cholelithiasis (Gallstones),Gastroenterology,Chronic,Moderate,Presence of stones in gallbladder,Obese; female; >40,Cholecystitis; Pancreatitis
DIS035,Viral Hepatitis (B),Gastroenterology,Chronic,Severe,Chronic infection with hepatitis B virus,Endemic areas; IV drug users; unsafe sex,Cirrhosis; Hepatocellular carcinoma
DIS036,Viral Hepatitis (C),Gastroenterology,Chronic,Severe,Chronic infection with hepatitis C virus,IV drug users; blood transfusion before 1992,Cirrhosis; Liver cancer
DIS037,Alcoholic Liver Disease,Gastroenterology,Chronic,Severe,Liver damage due to chronic alcohol abuse,Chronic alcoholics; males >40,Portal hypertension; Ascites; Encephalopathy
DIS038,Non-alcoholic Fatty Liver Disease,Gastroenterology,Chronic,Moderate,Fat accumulation in liver not due to alcohol,Obese; diabetic; metabolic syndrome,NASH; Cirrhosis
DIS039,Diverticulitis,Gastroenterology,Acute,Moderate,Inflammation of diverticula in colon,Elderly; low-fiber diet,Perforation; Abscess
DIS040,Barrett's Esophagus,Gastroenterology,Chronic,Moderate,Metaplasia of esophageal epithelium due to chronic GERD,Chronic GERD patients; white males,Esophageal adenocarcinoma
DIS041,Stroke (Ischemic),Neurology,Acute,Severe,Sudden loss of brain function due to blocked artery,Elderly; hypertensive; atrial fibrillation,Hypertension; Diabetes; Dyslipidemia
DIS042,Transient Ischemic Attack,Neurology,Acute,Moderate,Temporary neurologic dysfunction due to brief ischemia,Adults with vascular risk factors,Subsequent stroke; Carotid stenosis
DIS043,Intracerebral Hemorrhage,Neurology,Acute,Severe,Bleeding within brain tissue due to vessel rupture,Hypertensive; anticoagulant use; elderly,Hypertension; Amyloid angiopathy
DIS044,Subarachnoid Hemorrhage,Neurology,Acute,Severe,Bleeding in subarachnoid space from aneurysm rupture,Women 40-60; smokers; family history,Vasospasm; Hydrocephalus
DIS045,Epilepsy (Generalized),Neurology,Chronic,Moderate,Recurrent unprovoked seizures due to brain disorder,Children; elderly; post-stroke,Depression; Anxiety; SUDEP risk
DIS046,Parkinson's Disease,Neurology,Chronic,Severe,Progressive neurodegenerative disorder with motor symptoms,Men >60; possible genetic,Depression; Dementia; Falls
DIS047,Multiple Sclerosis,Neurology,Chronic,Severe,Autoimmune demyelination of CNS,Young adults 20-40; female,Depression; Fatigue; Bladder dysfunction
DIS048,Alzheimer's Disease,Neurology,Chronic,Severe,Progressive neurodegenerative dementia,Elderly >65; APOE4 carriers,Behavioral disorders; Malnutrition
DIS049,Migraine with Aura,Neurology,Chronic,Moderate,Recurrent headache preceded by focal neurological symptoms,Women 20-50; family history,Depression; Anxiety
DIS050,Cluster Headache,Neurology,Chronic,Severe,Severe unilateral headache occurring in clusters,Men 20-40; smokers,Suicidal ideation; Sleep disturbances
DIS051,Amyotrophic Lateral Sclerosis,Neurology,Chronic,Severe,Progressive motor neuron degeneration,Adults 40-70; sporadic or familial,Respiratory failure; Dysphagia
DIS052,Huntington's Disease,Neurology,Chronic,Severe,Autosomal dominant neurodegenerative disorder,Adults 30-50; family history,Chorea; Dementia; Psychiatric issues
DIS053,Myasthenia Gravis,Neurology,Chronic,Moderate,Autoimmune disorder affecting neuromuscular junction,Women <40; men >60,Thymoma; Other autoimmune diseases
DIS054,Guillain-Barré Syndrome,Neurology,Acute,Severe,Acute inflammatory demyelinating polyneuropathy,Any age; post-infection,Respiratory failure; Autonomic instability
DIS055,Trigeminal Neuralgia,Neurology,Chronic,Severe,Severe facial pain due to trigeminal nerve dysfunction,Adults >50; female,Migraine; Depression
DIS056,Breast Cancer (Invasive Ductal),Oncology,Chronic,Severe,Malignant tumor originating in breast ducts,Women >40; BRCA mutation,Lymph node metastasis; Bone metastasis
DIS057,Lung Cancer (Non-Small Cell),Oncology,Chronic,Severe,Malignant lung tumor (adenocarcinoma, squamous, etc.),Smokers; elderly,Metastasis to brain; bone; liver
DIS058,Colorectal Adenocarcinoma,Oncology,Chronic,Severe,Malignancy of colon or rectum,Adults >50; family history; IBD,Liver metastasis; Bowel obstruction
DIS059,Prostate Adenocarcinoma,Oncology,Chronic,Severe,Malignancy of prostate gland,Men >65; African ancestry,Bone metastasis; Urinary obstruction
DIS060,Acute Myeloid Leukemia,Oncology,Acute,Severe,Rapidly progressing cancer of myeloid line,Adults >60; prior chemotherapy,Infection; Bleeding; Anemia
DIS061,Chronic Lymphocytic Leukemia,Oncology,Chronic,Moderate,Indolent cancer of B lymphocytes,Elderly; male,Infection; Autoimmune cytopenias
DIS062,Hodgkin Lymphoma,Oncology,Chronic,Moderate,Malignancy of B cells with Reed-Sternberg cells,Young adults 20-30; elderly,Second malignancies; Infections
DIS063,Non-Hodgkin Lymphoma (Diffuse Large B-cell),Oncology,Chronic,Severe,Aggressive lymphoma of B cells,Adults >60; immunocompromised,Extranodal involvement; Bone marrow failure
DIS064,Melanoma (Malignant),Oncology,Chronic,Severe,Skin cancer arising from melanocytes,Light-skinned; sun exposure; familial atypical moles,Metastasis to lymph nodes; visceral
DIS065,Ovarian Serous Carcinoma,Oncology,Chronic,Severe,Epithelial ovarian cancer,Women >50; BRCA mutation,Peritoneal carcinomatosis; Ascites
DIS066,Glioblastoma Multiforme,Oncology,Chronic,Severe,Highly aggressive primary brain tumor,Adults 45-70; male,Neurologic deficits; Seizures
DIS067,Pancreatic Adenocarcinoma,Oncology,Chronic,Severe,Ductal adenocarcinoma of pancreas,Adults >60; smokers; chronic pancreatitis,Liver metastasis; Cachexia
DIS068,Multiple Myeloma,Oncology,Chronic,Severe,Malignant plasma cell disorder,Adults >65; male; African descent,Renal failure; Bone lesions; Anemia
DIS069,Renal Cell Carcinoma,Oncology,Chronic,Moderate,Kidney cancer from proximal tubules,Men 50-70; smokers; von Hippel-Lindau,Metastasis to lung; bone
DIS070,Thyroid Papillary Carcinoma,Oncology,Chronic,Moderate,Most common thyroid cancer,Women 30-50; radiation exposure,Local lymph node metastasis; good prognosis
DIS071,HIV/AIDS,Infectious Diseases,Chronic,Severe,Chronic infection with HIV leading to immune deficiency,Adults; IV drug users; MSM; endemic regions,Opportunistic infections; Malignancies
DIS072,Tuberculosis (Pulmonary),Infectious Diseases,Chronic,Severe,Infection with Mycobacterium tuberculosis,Immunocompromised; crowded living; endemic areas,HIV; Malnutrition
DIS073,Community-acquired Pneumonia,Infectious Diseases,Acute,Severe,Acute lung infection in community setting,Elderly; young children; smokers,Sepsis; Respiratory failure
DIS074,Healthcare-associated Pneumonia,Infectious Diseases,Acute,Severe,Pneumonia in hospitalized or long-term care patients,Hospitalized; ventilated; immunocompromised,Multidrug-resistant organisms
DIS075,Meningococcal Meningitis,Infectious Diseases,Acute,Severe,Bacterial meningitis due to Neisseria meningitidis,Children; adolescents; military recruits,Septic shock; DIC; Death
DIS076,Sepsis (Bacterial),Infectious Diseases,Acute,Severe,Life-threatening organ dysfunction due to infection,Hospitalized; elderly; immunocompromised,Septic shock; Multi-organ failure
DIS077,Infective Endocarditis,Infectious Diseases,Acute,Severe,Infection of heart valves,IV drug users; prosthetic valves; structural heart disease,Embolic phenomena; Heart failure
DIS078,Osteomyelitis,Infectious Diseases,Chronic,Moderate,Bone infection,Diabetics; trauma; post-surgery,Chronic pain; Septic arthritis
DIS079,Cellulitis,Infectious Diseases,Acute,Moderate,Bacterial skin infection,Adults; diabetics; venous insufficiency,Lymphangitis; Abscess
DIS080,Influenza,Infectious Diseases,Acute,Moderate,Viral respiratory infection,All ages; seasonal,Pneumonia; Myocarditis
DIS081,Urinary Tract Infection (complicated),Infectious Diseases,Acute,Moderate,Infection of urinary tract with risk factors,Pregnant; elderly; catheterized; diabetics,Pyelonephritis; Sepsis
DIS082,Clostridioides difficile Infection,Infectious Diseases,Acute,Severe,Antibiotic-associated colitis,Hospitalized; recent antibiotics; elderly,Dehydration; Toxic megacolon
DIS083,Malaria (Plasmodium falciparum),Infectious Diseases,Acute,Severe,Life-threatening parasitic infection transmitted by mosquitoes,Travelers to endemic areas; children in Africa,Cerebral malaria; Anemia
DIS084,Dengue Hemorrhagic Fever,Infectious Diseases,Acute,Severe,Viral infection causing plasma leakage,Tropical regions; secondary infection,Shock; Bleeding; Organ failure
DIS085,Herpes Zoster (Shingles),Infectious Diseases,Acute,Moderate,Reactivation of varicella-zoster virus,Adults >50; immunocompromised,Postherpetic neuralgia
DIS086,Asthma (Allergic),Pulmonology,Chronic,Moderate,Chronic airway inflammation with reversible obstruction,Children; adults with atopy,Rhinitis; Eczema; Sinusitis
DIS087,COPD (Chronic Bronchitis),Pulmonology,Chronic,Severe,Chronic bronchitis with airflow limitation,Smokers >40; occupational exposure,Respiratory infections; Cor pulmonale
DIS088,COPD (Emphysema),Pulmonology,Chronic,Severe,Destruction of alveolar walls,Smokers; alpha-1 antitrypsin deficiency,Weight loss; Respiratory failure
DIS089,Idiopathic Pulmonary Fibrosis,Pulmonology,Chronic,Severe,Progressive fibrotic interstitial lung disease,Adults >60; male; smokers,Pulmonary hypertension; Lung cancer
DIS090,Acute Respiratory Distress Syndrome,Pulmonology,Acute,Severe,Acute lung injury causing hypoxemia,Sepsis; pneumonia; trauma; aspiration,Multi-organ failure; Barotrauma
DIS091,Pulmonary Embolism,Pulmonology,Acute,Severe,Blockage of pulmonary artery by clot,Post-surgery; immobility; cancer; pregnancy,Right heart failure; Infarction
DIS092,Sleep Apnea (Obstructive),Pulmonology,Chronic,Moderate,Repeated upper airway collapse during sleep,Obese; male; large neck,Hypertension; Cardiovascular disease; Daytime sleepiness
DIS093,Lung Cancer (Small Cell),Pulmonology,Chronic,Severe,Neuroendocrine lung carcinoma strongly linked to smoking,Heavy smokers; elderly,Paraneoplastic syndromes; Brain metastases
DIS094,Pleural Effusion (Malignant),Pulmonology,Chronic,Moderate,Accumulation of fluid in pleural space due to cancer,Lung cancer; breast cancer; lymphoma,Dyspnea; Chest pain
DIS095,Pneumothorax (Spontaneous),Pulmonology,Acute,Severe,Air in pleural space without trauma,Tall thin young males; smokers; COPD,Respiratory distress; Tension pneumothorax
DIS096,Allergic Bronchopulmonary Aspergillosis,Pulmonology,Chronic,Moderate,Hypersensitivity reaction to Aspergillus in asthmatics/CF,Patients with asthma or cystic fibrosis,Bronchiectasis; Fibrosis
DIS097,Acne Vulgaris,Dermatology,Chronic,Mild,Inflammatory disorder of pilosebaceous units,Adolescents; young adults,Scarring; Hyperpigmentation; Depression
DIS098,Psoriasis (Plaque),Dermatology,Chronic,Moderate,Chronic immune-mediated inflammatory skin disease,Adults; genetic predisposition,Psoriatic arthritis; Cardiovascular disease
DIS099,Atopic Dermatitis (Eczema),Dermatology,Chronic,Moderate,Chronic pruritic inflammatory skin condition,Infants; children; personal/family atopy,Allergic rhinitis; Asthma
DIS100,Basal Cell Carcinoma,Dermatology,Chronic,Moderate,Most common skin cancer,Light-skinned; sun-damaged skin,Local invasion; Rare metastasis
DIS101,Squamous Cell Carcinoma (Skin),Dermatology,Chronic,Moderate,Malignancy of epidermal keratinocytes,Sun-exposed skin; immunosuppression,Metastasis to lymph nodes
DIS102,Malignant Melanoma (Superficial Spreading),Dermatology,Chronic,Severe,Most common type of melanoma,Intermittent sun exposure; fair skin,Metastasis; Breslow thickness
DIS103,Contact Dermatitis (Allergic),Dermatology,Acute,Mild,Delayed hypersensitivity reaction to allergen,Exposure to specific allergen (nickel, poison ivy),Acute eczema; Blistering
DIS104,Urticaria (Chronic),Dermatology,Chronic,Mild,Wheal-and-flare reaction lasting >6 weeks,Adults; often idiopathic,Angioedema; Anaphylaxis risk
DIS105,Herpes Simplex (Labialis),Dermatology,Acute,Mild,Recurrent viral infection caused by HSV-1,Most adults; triggered by stress/fever,Pain; Secondary bacterial infection
DIS106,Tinea Pedis (Athlete's Foot),Dermatology,Acute,Mild,Fungal infection of feet,Adults; occlusive footwear,Secondary bacterial infection; Onychomycosis
DIS107,Vitiligo,Dermatology,Chronic,Mild,Autoimmune destruction of melanocytes,Any age; family history,Other autoimmune diseases; Sunburn risk
DIS108,Alopecia Areata,Dermatology,Acute,Mild,Autoimmune non-scarring hair loss,Children; young adults; family history,Atopy; Thyroid disease
DIS109,Hidradenitis Suppurativa,Dermatology,Chronic,Moderate,Chronic inflammatory follicular disease in apocrine glands,Young women; smokers; obese,Scarring; Depression
DIS110,Rosacea,Dermatology,Chronic,Mild,Chronic inflammatory facial dermatosis,Adults 30-50; fair skin,Ocular involvement; Rhinophyma
DIS111,Major Depressive Disorder,Psychiatry,Chronic,Severe,Pervasive low mood and loss of interest,Adults; female predominance,Anxiety; Substance abuse; Suicide risk
DIS112,Generalized Anxiety Disorder,Psychiatry,Chronic,Moderate,Excessive worry about multiple events,Adults; more common in women,Panic disorder; Depression
DIS113,Panic Disorder,Psychiatry,Chronic,Moderate,Recurrent unexpected panic attacks,Young adults; female,Agoraphobia; Depression
DIS114,Schizophrenia,Psychiatry,Chronic,Severe,Chronic psychotic disorder with positive and negative symptoms,Young adults 16-30; male earlier onset,Substance abuse; Metabolic syndrome
DIS115,Bipolar I Disorder,Psychiatry,Chronic,Severe,Mania alternating with depression,Young adults; genetic,Suicide; Substance abuse
DIS116,Obsessive-Compulsive Disorder,Psychiatry,Chronic,Moderate,Recurrent intrusive thoughts and repetitive behaviors,Children; young adults; male earlier,Depression; Tic disorders
DIS117,Post-Traumatic Stress Disorder,Psychiatry,Chronic,Moderate,Trauma-induced disorder with re-experiencing and hyperarousal,Adults after trauma; female,Depression; Substance abuse
DIS118,Attention-Deficit/Hyperactivity Disorder,Psychiatry,Chronic,Moderate,Persistent inattention and/or hyperactivity,Children; persists into adulthood,Learning disorders; Anxiety
DIS119,Anorexia Nervosa,Psychiatry,Chronic,Severe,Restrictive eating leading to low body weight,Adolescent females; perfectionism,Depression; Osteoporosis; Cardiac complications
DIS120,Bulimia Nervosa,Psychiatry,Chronic,Moderate,Binge eating followed by compensatory behaviors,Adolescents; young adults,Electrolyte imbalance; Dental erosion
DIS121,Borderline Personality Disorder,Psychiatry,Chronic,Severe,Pervasive instability in relationships, self-image, and affect,Young adults; female,Depression; Self-harm; Substance abuse
DIS122,Insomnia Disorder,Sleep Medicine,Chronic,Mild,Difficulty initiating or maintaining sleep,Adults; elderly; stress,Depression; Anxiety; Hypertension
DIS123,Narcolepsy,Sleep Medicine,Chronic,Moderate,Excessive daytime sleepiness with cataplexy,Adolescents; young adults,Depression; Obesity; Sleep paralysis
DIS124,Restless Legs Syndrome,Sleep Medicine,Chronic,Mild,Uncomfortable leg sensations relieved by movement,Adults; elderly; iron deficiency,Insomnia; Depression; Cardiovascular disease
DIS125,Rheumatoid Arthritis,Rheumatology,Chronic,Severe,Chronic systemic autoimmune inflammatory arthritis,Women 40-60; smokers,Cardiovascular disease; Osteoporosis; Sjogren's
DIS126,Osteoarthritis (Knee),Rheumatology,Chronic,Moderate,Degenerative joint disease,Elderly; obese; previous injury,Obesity; Metabolic syndrome
DIS127,Systemic Lupus Erythematosus,Rheumatology,Chronic,Severe,Autoimmune disease affecting multiple organs,Women 15-45; African/Caribbean descent,Lupus nephritis; Antiphospholipid syndrome
DIS128,Gout,Rheumatology,Acute,Moderate,Acute arthritis due to urate crystal deposition,Men >40; hyperuricemia; diet,Chronic tophaceous gout; Nephrolithiasis
DIS129,Ankylosing Spondylitis,Rheumatology,Chronic,Severe,Chronic inflammatory spine disease,Young men; HLA-B27 positive,Spinal fusion; Uveitis; Aortitis
DIS130,Psoriatic Arthritis,Rheumatology,Chronic,Moderate,Inflammatory arthritis associated with psoriasis,Adults with psoriasis; 30-50,Dactylitis; Enthesitis; Cardiovascular risk
DIS131,Sjögren's Syndrome,Rheumatology,Chronic,Moderate,Autoimmune exocrinopathy causing dry eyes/mouth,Women 40-60; associated with other autoimmune,Lymphoma; Pulmonary fibrosis
DIS132,Polymyalgia Rheumatica,Rheumatology,Chronic,Moderate,Inflammatory condition causing pain and stiffness in shoulders/hips,Adults >50; female,Giant cell arteritis; Fatigue
DIS133,Vasculitis (ANCA-associated),Rheumatology,Chronic,Severe,Necrotizing inflammation of blood vessels,Adults; male,Glomerulonephritis; Pulmonary hemorrhage
DIS134,Scleroderma (Systemic Sclerosis),Rheumatology,Chronic,Severe,Fibrosis of skin and internal organs,Women 30-50; African descent,Pulmonary hypertension; Renal crisis
DIS135,Familial Mediterranean Fever,Rheumatology,Chronic,Moderate,Inherited autoinflammatory disease,Mediterranean descent; children,Amyloidosis; Arthritis
DIS136,Glaucoma (Open-angle),Ophthalmology,Chronic,Moderate,Progressive optic neuropathy with visual field loss,Elderly; African descent; family history,Blindness; Hypertension
DIS137,Cataract (Age-related),Ophthalmology,Chronic,Mild,Opacity of lens causing visual impairment,Elderly; UV exposure; diabetes,Blindness if untreated; Falls
DIS138,Diabetic Retinopathy (Proliferative),Ophthalmology,Chronic,Severe,Retinal neovascularization due to diabetes,Long-standing diabetes; poor glycemic control,Blindness; Vitreous hemorrhage
DIS139,Age-related Macular Degeneration (Wet),Ophthalmology,Chronic,Severe,Choroidal neovascularization causing central vision loss,Adults >60; smokers; family history,Legal blindness; Depression
DIS140,Conjunctivitis (Bacterial),Ophthalmology,Acute,Mild,Inflammation of conjunctiva due to bacteria,Children; contact lens wearers,Corneal involvement
DIS141,Uveitis (Anterior),Ophthalmology,Acute,Moderate,Inflammation of uveal tract,Young to middle-aged adults; HLA-B27,Cataract; Glaucoma; Vision loss
DIS142,Retinal Detachment (Rhegmatogenous),Ophthalmology,Acute,Severe,Separation of neurosensory retina from RPE,High myopia; trauma; aphakia,Permanent vision loss if not repaired
DIS143,Optic Neuritis,Ophthalmology,Acute,Moderate,Inflammation of optic nerve,Young adults; female; associated with MS,Visual loss; Multiple sclerosis
DIS144,Keratitis (Infectious),Ophthalmology,Acute,Severe,Corneal infection,Contact lens wear; trauma; immunocompromised,Corneal scarring; Perforation
DIS145,Strabismus,Ophthalmology,Chronic,Mild,Misalignment of eyes,Children; adults post-trauma or stroke,Amblyopia; Diplopia
DIS146,Chronic Kidney Disease (Stage 4),Nephrology,Chronic,Severe,Advanced kidney damage with eGFR 15-29,Diabetes; hypertension; elderly,Anemia; Metabolic bone disease; Cardiovascular
DIS147,Acute Kidney Injury (Prerenal),Nephrology,Acute,Severe,Sudden decrease in kidney function due to hypoperfusion,Hospitalized; dehydrated; sepsis,Volume overload; Electrolyte disturbances
DIS148,Diabetic Nephropathy,Nephrology,Chronic,Severe,Progressive kidney damage due to diabetes,Long-term diabetics; poor control,ESRD; Cardiovascular disease
DIS149,Hypertensive Nephrosclerosis,Nephrology,Chronic,Moderate,Kidney damage due to chronic hypertension,Longstanding hypertension; elderly,ESRD; Cardiovascular events
DIS150,Glomerulonephritis (IgA Nephropathy),Nephrology,Chronic,Moderate,IgA deposits in glomeruli,Young adults; post-infection,Hypertension; Progressive renal failure
DIS151,Focal Segmental Glomerulosclerosis,Nephrology,Chronic,Severe,Scarring of glomeruli,Black ethnicity; HIV; obesity,Nephrotic syndrome; ESRD
DIS152,Membranous Nephropathy,Nephrology,Chronic,Moderate,Autoimmune thickening of glomerular basement membrane,Adults; idiopathic; secondary to malignancies,Nephrotic syndrome; Thrombosis
DIS153,Polycystic Kidney Disease (ADPKD),Nephrology,Chronic,Severe,Cystic enlargement of kidneys,Adults 30-50; family history,Hypertension; ESRD; Cerebral aneurysms
DIS154,Renal Artery Stenosis,Nephrology,Chronic,Moderate,Narrowing of renal artery,Smokers; atherosclerotic; elderly,Hypertension; Ischemic nephropathy
DIS155,Nephrolithiasis (Calcium Oxalate),Nephrology,Acute,Moderate,Kidney stones,Adults; dehydration; hypercalciuria,Obstruction; Infection; Pain
DIS156,Interstitial Cystitis,Urology,Chronic,Moderate,Chronic bladder pain syndrome,Women; middle-aged,Pain; Frequency; Depression
DIS157,Benign Prostatic Hyperplasia,Urology,Chronic,Moderate,Non-malignant enlargement of prostate,Men >50; age,Urinary retention; UTI; Renal impairment
DIS158,Erectile Dysfunction (Vasculogenic),Urology,Chronic,Moderate,Inability to maintain erection due to vascular cause,Men >40; diabetes; hypertension,Depression; Cardiovascular disease
DIS159,Prostate Cancer (Localized),Urology,Chronic,Severe,Adenocarcinoma confined to prostate,Men >65; family history; African ancestry,Metastasis; Incontinence; Erectile dysfunction
DIS160,Bladder Cancer (Urothelial),Urology,Chronic,Severe,Malignancy of bladder epithelium,Men >60; smokers; occupational chemical exposure,Hematuria; Metastasis
DIS161,Urinary Incontinence (Stress),Urology,Chronic,Mild,Involuntary leakage with exertion,Women; post-childbirth; elderly,Social isolation; Dermatitis
DIS162,Pyelonephritis (Acute),Urology,Acute,Severe,Acute bacterial kidney infection,Young women; pregnant; elderly; stones,Sepsis; Renal abscess
DIS163,Testicular Cancer (Seminoma),Urology,Acute,Severe,Malignant germ cell tumor of testis,Young men 20-40; cryptorchidism,Metastasis to retroperitoneum; good prognosis
DIS164,Peyronie's Disease,Urology,Chronic,Mild,Fibrous plaque in penis causing curvature,Men 40-60; genetic,Penile pain; Erectile dysfunction
DIS165,Ottis Media (Acute),Otorhinolaryngology,Acute,Moderate,Acute infection of middle ear,Infants; young children; winter,Perforation; Hearing loss
DIS166,Chronic Sinusitis,Otorhinolaryngology,Chronic,Moderate,Prolonged inflammation of sinuses,Adults; allergic rhinitis; anatomic variants,Nasal polyps; Asthma
DIS167,Tonsillitis (Recurrent),Otorhinolaryngology,Acute,Moderate,Repeated infection of tonsils,Children; adolescents,Peritonsillar abscess; Airway obstruction
DIS168,Sensorineural Hearing Loss,Otorhinolaryngology,Chronic,Moderate,Inner ear or neural hearing loss,Elderly; noise exposure; ototoxic drugs,Tinnitus; Social isolation
DIS169,Vertigo (Benign Paroxysmal Positional),Otorhinolaryngology,Acute,Mild,Episodic positional vertigo due to canalithiasis,Adults >50; female,Posterior canal involvement; Nausea
DIS170,Meniere's Disease,Otorhinolaryngology,Chronic,Moderate,Endolymphatic hydrops causing vertigo, tinnitus, hearing loss,Adults 40-60; female,Falls; Hearing fluctuation
DIS171,Laryngitis (Chronic),Otorhinolaryngology,Chronic,Mild,Prolonged hoarseness due to vocal cord inflammation,Adults; voice overuse; reflux,Reinke's edema; Vocal nodules
